sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,sample_cfs,vol_ft3,time_secs,time_days,rain_mm,mean_Q_cfs,sd_Q_cfs,vol_L,vol_m3,rain_ft,rain_m,mean_Q_Ls,mean_Q_cms,runoff_ft,runoff_m,runoff_ratio,avg_L_per_day,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
1686,2019-10-24T16:35:00Z,TRE,179.3,6.95,1.7,0.08,0.05,0.04,0.35,0.02,NA,0,2019-10-24T16:40:00Z,172,0.00405,12289.128,2777400,32.145833333333336,5.0673,0.004424687837545906,0.001323509735298798,347989.357339416,347.989357339416,0.016625000532,0.0050673,0.12529320851854828,1.2529320851854827e-4,0.008097152163269148,0.02656546070333995,0.4870467310773105,10825.333216002571,714489.3,62394.49177095729,2418.526033508941,591.5819074770071,27.83914858715328,17.399467866970802,13.91957429357664,121.79627506879558,6.95978714678832,NA,0,62.39449177095729,2.418526033508941,0.5915819074770071,0.02783914858715328,0.017399467866970802,0.01391957429357664,0.12179627506879559,0.00695978714678832,NA,0,4.425141260351581,0.1715266690431873,0.04195616365085157,0.0019744077012165445,0.0012340048132603407,9.872038506082723e-4,0.008638033692822383,4.936019253041361e-4,NA,0
1696,2019-11-25T20:10:00Z,TRE,182,7.77,0.56,0.21,0.06,0.02,0.34,0.03,3.06,0.12,2019-11-25T20:10:00Z,173,0.00601,24551.466,946200,10.95138888888889,112.5474,0.025947438173747624,0.010704074158243029,695220.106347702,695.220106347702,0.369250011816,0.11254739999999999,0.7347496368079709,7.347496368079709e-4,0.01617665273185607,0.05307300934878267,0.04380948466947379,63482.368620208676,15869183.4,126530.05935528176,5401.860226321644,389.32325955471316,145.9962223330174,41.71320638086212,13.90440212695404,236.37483615821867,20.85660319043106,2127.373525423968,83.42641276172424,126.53005935528175,5.401860226321644,0.38932325955471314,0.14599622233301743,0.041713206380862115,0.013904402126954039,0.23637483615821867,0.020856603190431058,2.1273735254239683,0.08342641276172423,8.973763074842678,0.3831106543490528,0.027611578691823627,0.01035434200943386,0.0029583834312668167,9.861278104222723e-4,0.016764172777178628,0.0014791917156334084,0.15087755499460767,0.0059167668625336334
1706,2019-12-06T19:00:00Z,TRE,179.4,7.54,6.11,0.14,0.01,0,0.35,0.03,4.97,0.12,2019-12-06T19:00:00Z,174,0.0238,6362.88,69600,0.8055555555555556,42.1386,0.09142068965517242,0.03386925120092773,180176.69943936,180.17669943936,0.13825000442399998,0.0421386,2.5887456816,0.0025887456816,0.004192421753327168,0.013754664985185907,0.030324930337574513,223667.62689024,5941542.599999999,32323.699879421187,1358.5323137727746,1100.8796335744898,25.2247379215104,1.8017669943936,0,63.061844803776,5.4053009831808,895.4781962136192,21.6212039327232,32.323699879421184,1.3585323137727745,1.1008796335744897,0.0252247379215104,0.0018017669943936,0,0.063061844803776,0.005405300983180801,0.8954781962136192,0.021621203932723203,2.2924609843561123,0.09634980948743081,0.07807656975705601,0.0017889885050716597,1.2778489321940427e-4,0,0.004472471262679149,3.833546796582128e-4,0.06350909193004392,0.0015334187186328513
1722,2019-12-07T14:20:00Z,TRE,168.3,7.02,16.5,0.19,0.03,0.03,0.36,0.02,6.47,0.12,2019-12-07T14:20:00Z,175,0.251,994.8,4200,0.04861111111111111,0,0.23685714285714285,0.015015864626327398,28169.5993956,28.1695993956,0,0,6.707047475142857,0.006707047475142857,6.554612314250569e-4,0.0021504634265085837,Inf,579488.9018523428,0,4740.943578279481,197.75058775711196,464.7983900274,5.352223885163999,0.8450879818679999,0.8450879818679999,10.141055782415998,0.563391987912,182.257308089532,3.3803519274719998,4.74094357827948,0.19775058775711196,0.4647983900274,0.005352223885163999,8.450879818679999e-4,8.450879818679999e-4,0.010141055782416,5.63391987912e-4,0.182257308089532,0.0033803519274719996,0.33623713321131066,0.014024864379937019,0.032964424824638294,3.7959034646553184e-4,5.993531786297872e-5,5.993531786297872e-5,7.192238143557447e-4,3.9956878575319154e-5,0.012926050219115744,2.3974127145191487e-4
1726,2019-12-07T15:30:00Z,TRE,97.73,7.09,5.08,0.33,0,0.04,0.35,0,5.569911998,0.29,2019-12-07T15:30:00Z,176,0.222,534,2400,0.02777777777777778,0,0.2225,0.0010000000000000009,15121.196297999999,15.121196298,0,0,6.3004984575,0.0063004984574999996,3.518458962414359e-4,0.0011543500902247525,Inf,544363.066728,0,1477.79451420354,107.20928175281999,76.81567719383999,4.98999477834,0,0.6048478519199999,5.292418704299999,0,84.22373268434339,4.385146926419999,1.47779451420354,0.10720928175281999,0.07681567719383998,0.00498999477834,0,6.0484785192e-4,0.0052924187042999995,0,0.08422373268434338,0.004385146926419999,0.10480812157471915,0.007603495159774468,0.0054479203683574454,3.539003388893617e-4,0,4.289701077446808e-5,3.753488442765957e-4,0,0.005973314374776126,3.1100332811489356e-4
1728,2019-12-07T16:05:00Z,TRE,146.4,6.88,20.1,0.14,0.06,0.03,0.35,0.02,4.985737965,0.05,2019-12-07T16:10:00Z,177,0.224,1408.2,6000,0.06944444444444445,0.5334,0.2347,0.008819800955174035,39875.7839454,39.8757839454,0.001750000056,5.334e-4,6.6459639908999995,0.0066459639909,9.278453016614046e-4,0.0030441119795028026,0.5301972982687748,574211.2888137599,75209.4,5837.814769606561,274.34539354435196,801.50325730254,5.582609752356,2.392547036724,1.196273518362,13.95652438089,0.797515678908,198.81020990071826,1.99378919727,5.8378147696065605,0.27434539354435195,0.80150325730254,0.005582609752356,0.0023925470367240002,0.0011962735183620001,0.01395652438089,7.975156789080001e-4,0.19881020990071827,0.00199378919727,0.41402941628415324,0.019457120109528506,0.05684420264557022,3.959297696706383e-4,1.6968418700170215e-4,8.484209350085108e-5,9.898244241765958e-4,5.6561395667234046e-5,0.014100014886575763,1.414034891680851e-4
1717,2019-12-07T17:45:00Z,TRE,146.6,7.14,19.2,0.3,0.16,0.06,0.36,0.02,11.11,0.07,2019-12-07T17:50:00Z,178,0.251,3243.6,10200,0.11805555555555557,1.0668,0.318,0.04061095911204265,91848.5249292,91.8485249292,0.003500000112,0.0010668,9.004757346,0.009004757346,0.0021371673203159575,0.007011704031185406,0.610619214836173,778011.0346943999,150418.8,13464.993754620718,655.798467994488,1763.49167864064,27.55455747876,14.695763988671999,5.510911495752,33.065468974512,1.8369704985839999,1020.4371119634119,6.429396745044,13.464993754620718,0.6557984679944879,1.7634916786406398,0.027554557478759997,0.014695763988671999,0.005510911495752,0.033065468974512,0.0018369704985839999,1.020437111963412,0.006429396745044001,0.9549640960723913,0.046510529644999146,0.1250703318184851,0.0019542239346638296,0.0010422527651540426,3.9084478693276597e-4,0.002345068721596596,1.3028159564425532e-4,0.07237142638038382,4.559855847548937e-4
1712,2019-12-07T20:40:00Z,TRE,136.2,7.1,16.1,0.25,0.02,0.05,0.35,0.01,12.05,0.18,2019-12-07T20:40:00Z,179,0.359,18108.6,66600,0.7708333333333334,11.7348,0.2719009009009009,0.047081545304629796,512778.4555841999,512.7784555842,0.038500001232,0.0117348,7.699376209972973,0.007699376209972973,0.011931529207261546,0.03914543828435197,0.3099098396221461,665226.1045416647,1654606.8,69840.42565056802,3640.727034647819,8255.73313490562,128.19461389605,10.255569111683998,25.63892277921,179.47245945446997,5.127784555841999,6178.980389789609,92.30012200515598,69.84042565056802,3.6407270346478193,8.25573313490562,0.12819461389604997,0.010255569111684,0.02563892277921,0.17947245945446996,0.005127784555842,6.17898038978961,0.09230012200515599,4.95322167734525,0.2582075911097744,0.5855129882911787,0.009091816588372338,7.273453270697873e-4,0.001818363317674468,0.012728543223721274,3.6367266353489364e-4,0.4382255595595468,0.006546107943628084
1753,2019-12-08T15:10:00Z,TRE,122.9,6.92,13.1,0.14,0.05,0.02,0.34,0.02,4.05,0.08,2019-12-08T15:10:00Z,180,0.294,176.39999999999998,600,0.006944444444444445,0,0.294,NA,4995.0918108,4.9950918108,0,0,8.325153018,0.008325153018,1.1622774549997993e-4,3.8132463654615416e-4,Inf,719293.2207551999,0,613.89678354732,34.566035330736,65.43570272148,0.699312853512,0.24975459054,0.09990183621599999,1.698331215672,0.09990183621599999,20.23012183374,0.39960734486399996,0.6138967835473199,0.034566035330735996,0.06543570272148,6.99312853512e-4,2.4975459053999997e-4,9.990183621599999e-5,0.0016983312156720002,9.990183621599999e-5,0.020230121833739997,3.9960734486399994e-4,0.04353877897498723,0.0024514918674280847,0.004640829980246808,4.959665627744681e-5,1.771309152765957e-5,7.085236611063829e-6,1.2044902238808512e-4,7.085236611063829e-6,0.0014347604137404254,2.8340946444255317e-5
1733,2019-12-08T15:20:00Z,TRE,140.1,6.9,14.9,0.39,0.05,0.04,0.35,0.03,7.012654077,0.31,2019-12-08T15:20:00Z,181,0.294,352.79999999999995,1200,0.01388888888888889,0,0.294,0,9990.1836216,9.9901836216,0,0,8.325153018,0.008325153018,2.3245549099995986e-4,7.626492730923083e-4,Inf,719293.2207551999,0,1399.6247253861598,68.93226698904,148.85373596184,3.896171612424,0.49950918108,0.39960734486399996,3.4965642675599997,0.299705508648,70.05770190399186,3.0969569226959996,1.3996247253861598,0.06893226698904,0.14885373596183998,0.003896171612424,4.995091810799999e-4,3.9960734486399994e-4,0.00349656426756,2.9970550864799996e-4,0.07005770190399185,0.0030969569226959996,0.09926416492100425,0.004888813261634042,0.010557002550485105,2.7632422783148934e-4,3.542618305531914e-5,2.8340946444255317e-5,2.4798328138723406e-4,2.1255709833191485e-5,0.004968631340708642,2.196423349429787e-4
