sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,Q_cfs,sum_vol_ft3,time_secs,time_days,sum_rain_mm,mean_Q_cfs,sd_Q_cfs,mean_Q_cfs_per_day,Q_Ls,Q_cms,sum_vol_L,sum_vol_m3,sum_rain_ft,sum_rain_m,runoff_ft,runoff_m,runoff_mm,runoff_ratio,vol_shift,rain_L,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
62,2016-10-27T16:28:00Z,UQL,137,7.56,13.7,0.17,0.01,0.01,0.01,0.01,5.07,0.15,2016-10-27T16:30:00Z,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0531,72617.022,1175400,13.604166666666666,93.6498,0.061780689127105666,0.08408306894088555,0.004541306398317109,1.5036245757,0.0015036245757,2056285.101569634,2056.2851015696338,0.307250009832,0.0936498,0.053970789026282294,0.177069523468988,177.069523468988,0.1756575664742623,NA,11706224.999999998,281711.0589150398,15545.515367866432,28171.105891503983,349.5684672668378,20.56285101569634,20.56285101569634,20.56285101569634,20.56285101569634,10425.365464958044,308.44276523544505,281.7110589150398,15.545515367866432,28.17110589150398,0.34956846726683777,0.02056285101569634,0.02056285101569634,0.02056285101569634,0.02056285101569634,10.425365464958043,0.30844276523544506,22.536884713203186,1.2436412294293147,2.2536884713203182,0.027965477381347022,0.0016450280812557072,0.0016450280812557072,0.0016450280812557072,0.0016450280812557072,0.8340292371966435,0.024675421218835605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2016-11-10T07:00:00Z,UQL,130,8.03,22.7,0.29,0.01,0,0.07,0,6.03,0.28,2016-11-10T07:00:00Z,3,133.5,7.795,18.2,0.22999999999999998,0.01,0.005,0.04,0.005,5.550000000000001,0.21500000000000002,0.00714,472103.01,2684400,31.069444444444443,240.19764,0.17586909924005364,0.3887836754810587,0.005660516381441155,0.20218228757999998,2.0218228757999998e-4,13368468.70240947,13368.468702409471,0.7880500252176,0.24019764000000002,0.3508787781380355,1.1511771304663923,1151.1771304663923,0.4452493711184759,2056285.101569634,30024705.000000004,1737900.9313132311,107348.80368034804,303464.23954469495,3876.855923698746,133.68468702409473,0,935.792809168663,0,80611.86627552912,3743.171236674652,1737.9009313132312,107.34880368034804,303.464239544695,3.8768559236987463,0.13368468702409472,0,0.935792809168663,0,80.61186627552911,3.743171236674652,139.0320745050585,8.587904294427844,24.277139163575598,0.3101484738958997,0.010694774961927578,0,0.07486342473349304,0,6.448949302042329,0.29945369893397217,1784690.5717716643,104207.21353528181,243306.13038385237,3074.747801554178,133.68468702409473,66.84234351204736,534.7387480963789,66.84234351204736,74195.00129837256,2874.2207710180364,1784.6905717716643,104.20721353528182,243.30613038385235,3.074747801554178,0.13368468702409472,0.06684234351204736,0.5347387480963789,0.06684234351204736,74.19500129837256,2.8742207710180367,142.77524574173313,8.336577082822545,19.46449043070819,0.24597982412433425,0.010694774961927578,0.005347387480963789,0.04277909984771031,0.005347387480963789,5.935600103869805,0.22993766168144295
100,2016-12-11T08:40:00Z,UQL,99,7.3,29.9,0.28,0,0.02,0.04,0,3.13,0.26,2016-12-11T08:40:00Z,4,114.5,7.664999999999999,26.299999999999997,0.28500000000000003,0.005,0.01,0.05500000000000001,0,4.58,0.27,0.735,24642,44400,0.5138888888888888,0.254,0.555,0.09118669693891832,1.0800000000000003,20.812882545,0.020812882545,697783.743774,697.783743774,8.333333600000001e-4,2.54e-4,0.018314551417237247,0.060087112871728646,60.08711287172864,21.97746099740594,13368468.70240947,31750,69080.590633626,5093.8213295502,20863.733938842597,195.37944825672,0,13.95567487548,27.91134975096,0,2184.0631180126197,181.42377338123998,69.080590633626,5.0938213295502,20.8637339388426,0.19537944825672,0,0.013955674875479999,0.027911349750959998,0,2.1840631180126198,0.18142377338124,5.52644725069008,0.40750570636401595,1.669098715107408,0.015630355860537598,0,0.0011164539900384,0.0022329079800768,0,0.17472504944100958,0.0145139018704992,79896.238662123,5348.51239602771,18351.7124612562,198.86836697559,3.48891871887,6.97783743774,38.37810590757,0,3195.8495464849198,188.40161081898,79.896238662123,5.34851239602771,18.3517124612562,0.19886836697559002,0.0034889187188699997,0.006977837437739999,0.03837810590757,0,3.19584954648492,0.18840161081898,6.39169909296984,0.42788099168221677,1.4681369969004958,0.015909469358047202,2.791134975096e-4,5.582269950192e-4,0.0030702484726056,0,0.2556679637187936,0.015072128865518399
101,2016-12-11T21:00:00Z,UQL,93,7.31,25.1,0.3,0.06,0.02,0.04,0,2.57,0.22,2016-12-11T21:00:00Z,5,96,7.305,27.5,0.29000000000000004,0.03,0.02,0.04,0,2.8499999999999996,0.24,0.421,118027.44,336000,3.888888888888889,80.518,0.35127214285714287,0.6273114792472715,0.0903271224489796,11.921392587,0.011921392587,3342164.96028168,3342.16496028168,0.26416667512,0.080518,0.0877209487267626,0.28779839742071184,287.79839742071186,0.33206667225120123,697783.743774,10064750,310821.34130619623,24431.22585965908,83888.34050307017,1002.6494880845039,200.5298976169008,66.8432992056336,133.6865984112672,0,8589.363947923917,735.2762912619696,310.8213413061962,24.43122585965908,83.88834050307018,1.0026494880845038,0.2005298976169008,0.06684329920563359,0.13368659841126718,0,8.589363947923918,0.7352762912619696,24.865707304495697,1.9544980687727262,6.711067240245614,0.0802119590467603,0.016042391809352064,0.005347463936450687,0.010694927872901374,0,0.6871491158339134,0.058822103300957565,320847.8361870413,24414.51503485767,91909.5364077462,969.2278384816873,100.2649488084504,66.8432992056336,133.6865984112672,0,9525.170136802786,802.1195904676032,320.8478361870413,24.414515034857672,91.9095364077462,0.9692278384816873,0.1002649488084504,0.06684329920563359,0.13368659841126718,0,9.525170136802787,0.8021195904676032,25.667826894963305,1.9531612027886138,7.3527629126196965,0.07753822707853499,0.008021195904676032,0.005347463936450687,0.010694927872901374,0,0.7620136109442229,0.06416956723740826
110,2016-12-15T18:20:00Z,UQL,90,7.48,31.2,0.35,0.03,0.02,0.05,0,4.47,0.3,2016-12-15T18:20:00Z,6,91.5,7.395,28.15,0.32499999999999996,0.045,0.02,0.045,0,3.5199999999999996,0.26,2.76,153983.4,88200,1.0208333333333333,0.508,1.745843537414966,0.8191521903579474,1.710214077467722,78.15449772,0.07815449772,4360324.3783398,4360.3243783398,0.0016666667200000002,5.08e-4,0.11444431850909056,0.3754734979373647,375.4734979373647,68.66658890812349,3342164.96028168,63500,392429.194050582,32615.226349981705,136042.12060420177,1526.11353241893,130.809731350194,87.206487566796,218.01621891699,0,19490.649971178904,1308.0973135019399,392.429194050582,32.615226349981704,136.04212060420176,1.5261135324189299,0.130809731350194,0.087206487566796,0.21801621891699,0,19.490649971178904,1.3080973135019398,31.39433552404656,2.609218107998536,10.88336964833614,0.12208908259351439,0.01046477850801552,0.00697651900534368,0.0174412975133592,0,1.5592519976943122,0.10464778508015518,398969.6806180917,32244.59877782282,122743.13125026536,1417.105422960435,196.214597025291,87.206487566796,196.214597025291,0,15348.341811756094,1133.684338368348,398.96968061809173,32.244598777822816,122.74313125026536,1.4171054229604347,0.196214597025291,0.087206487566796,0.196214597025291,0,15.348341811756095,1.1336843383683481,31.91757444944734,2.579567902225825,9.81945050002123,0.11336843383683477,0.01569716776202328,0.00697651900534368,0.01569716776202328,0,1.2278673449404875,0.09069474706946785
119,2016-12-16T18:50:00Z,UQL,96,7.38,23.5,0.22,0.04,0.02,0.03,0,2.81,0.16,2016-12-16T18:50:00Z,7,93,7.43,27.35,0.285,0.035,0.02,0.04,0,3.6399999999999997,0.22999999999999998,0.643,134243.34,1487400,17.21527777777778,46.482,0.09025369100443727,0.09611466997075153,0.005242650869156501,18.207732621,0.018207732621000002,3801348.1195489797,3801.34811954898,0.15250000488,0.046482,0.09977301164076217,0.32733928751147817,327.3392875114782,0.65424923572476,4360324.3783398,5810250,364929.41947670205,28053.94912227147,89331.68080940102,836.2965863007755,152.05392478195918,76.02696239097959,114.04044358646938,0,10681.788215932635,608.2156991278367,364.92941947670204,28.053949122271472,89.33168080940102,0.8362965863007755,0.15205392478195917,0.07602696239097959,0.11404044358646938,0,10.681788215932635,0.6082156991278367,29.194353558136164,2.2443159297817177,7.146534464752082,0.06690372690406204,0.012164313982556733,0.006082156991278367,0.00912323548691755,0,0.8545430572746108,0.048657255930226934,353525.3751180551,28244.016528248918,103966.8710696646,1083.3842140714592,133.0471841842143,76.02696239097959,152.05392478195918,0,13836.907155158286,874.3100674962653,353.5253751180551,28.244016528248917,103.96687106966459,1.0833842140714591,0.1330471841842143,0.07602696239097959,0.15205392478195917,0,13.836907155158285,0.8743100674962653,28.282030009444405,2.2595213222599133,8.317349685573168,0.08667073712571673,0.010643774734737144,0.006082156991278367,0.012164313982556733,0,1.1069525724126628,0.06994480539970122
129,2017-01-03T00:00:00Z,UQL,92,7.45,31.9,0.07,0,0,0.03,0,5.13,0.07,2017-01-03T00:00:00Z,8,94,7.415,27.7,0.14500000000000002,0.02,0.01,0.03,0,3.9699999999999998,0.115,0.019,4972.32,100200,1.159722222222222,28.448,0.04962395209580838,0.06298478034709008,0.04278951557961921,0.538020093,5.38020093e-4,140800.42467503998,140.80042467503998,0.09333333632,0.028448,0.003695552727171378,0.012124517209412945,12.124517209412945,0.0395952065240753,3801348.1195489797,3556000.0000000005,12953.639070103676,1048.963163829048,4491.533547133776,9.856029727252798,0,0,4.224012740251199,0,722.306178582955,9.856029727252798,12.953639070103677,1.048963163829048,4.491533547133775,0.009856029727252798,0,0,0.004224012740251199,0,0.722306178582955,0.009856029727252798,1.036291125608294,0.08391705310632384,0.35932268377070203,7.884823781802239e-4,0,0,3.379210192200959e-4,0,0.0577844942866364,7.884823781802239e-4,13235.239919453757,1044.0351489654215,3900.171763498607,20.4160615778808,2.8160084935007994,1.4080042467503997,4.224012740251199,0,558.9776859599086,16.1920488376296,13.235239919453758,1.0440351489654214,3.9001717634986073,0.020416061577880798,0.0028160084935007993,0.0014080042467503997,0.004224012740251199,0,0.5589776859599086,0.016192048837629598,1.0588191935563005,0.08352281191723371,0.3120137410798886,0.001633284926230464,2.2528067948006394e-4,1.1264033974003197e-4,3.379210192200959e-4,0,0.044718214876792686,0.0012953639070103678
120,2017-01-04T03:50:00Z,UQL,94,7.63,44.7,0.09,0,0,0.03,0,6.04,0.09,2017-01-04T03:50:00Z,9,93,7.54,38.3,0.08,0,0,0.03,0,5.585,0.08,0.279,11192.4,29400,0.34027777777777773,0.254,0.3806938775510204,0.06669058031987246,1.1187738442315702,7.9004003130000005,0.007900400313000001,316933.4783628,316.9334783628,8.333333600000001e-4,2.54e-4,0.008318471929319298,0.027291575444587924,27.291575444587924,9.982165995753844,140800.42467503998,31750,29791.746966103197,2418.202439908164,14166.92648281716,28.524013052652,0,0,9.508004350883999,0,1914.278209311312,28.524013052652,29.791746966103197,2.4182024399081636,14.16692648281716,0.028524013052651998,0,0,0.009508004350884,0,1.9142782093113118,0.028524013052651998,2.383339757288256,0.19345619519265309,1.1333541186253728,0.0022819210442121597,0,0,7.6064034807072e-4,0,0.15314225674490495,0.0022819210442121597,29474.813487740397,2389.678426855512,12138.552221295238,25.354678269024,0,0,9.508004350883999,0,1770.0734766562377,25.354678269024,29.4748134877404,2.389678426855512,12.138552221295237,0.025354678269024,0,0,0.009508004350884,0,1.7700734766562378,0.025354678269024,2.357985079019232,0.19117427414844093,0.971084177703619,0.00202837426152192,0,0,7.6064034807072e-4,0,0.14160587813249903,0.00202837426152192
121,2017-01-04T12:00:00Z,UQL,100,7.56,41.4,0.09,0,0,0.04,0,4.76,0.09,2017-01-04T12:00:00Z,10,97,7.595,43.05,0.09,0,0,0.035,0,5.4,0.09,0.498,14832.6,29400,0.34027777777777773,0,0.5045102040816326,0.016781838458310126,1.4826422324031654,14.101789806,0.014101789806,420012.4648122,420.0124648122,0,0,0.011023959717202873,0.036167847998587875,36.167847998587874,Inf,316933.4783628,0,42001.24648122,3175.294233980232,17388.51604322508,37.801121833097994,0,0,16.800498592487997,0,1999.2593325060718,37.801121833097994,42.00124648122,3.175294233980232,17.38851604322508,0.037801121833098,0,0,0.016800498592487997,0,1.9992593325060717,0.037801121833098,3.3600997184976,0.2540235387184186,1.3910812834580064,0.00302408974664784,0,0,0.0013440398873990397,0,0.15994074660048574,0.00302408974664784,40741.209086783405,3189.994670248659,18081.536610165207,37.801121833097994,0,0,14.700436268427001,0,2268.0673099858805,37.801121833097994,40.7412090867834,3.189994670248659,18.08153661016521,0.037801121833098,0,0,0.014700436268427002,0,2.2680673099858804,0.037801121833098,3.259296726942672,0.2551995736198927,1.4465229288132166,0.00302408974664784,0,0,0.0011760349014741601,0,0.18144538479887043,0.00302408974664784
122,2017-01-04T20:10:00Z,UQL,101,7.54,37.9,0.09,0.01,0,0.04,0,3.85,0.08,2017-01-04T20:10:00Z,11,100.5,7.55,39.65,0.09,0.005,0,0.04,0,4.305,0.08499999999999999,0.466,19359,50400,0.5833333333333333,0,0.38410714285714287,0.0450528519234596,0.6584693877551021,13.195650702,0.013195650702,548185.841073,548.185841073,0,0,0.01438809353487119,0.04720503279294679,47.205032792946795,Inf,420012.4648122,0,55366.769948372996,4133.32124169042,20776.243376666698,49.33672569657,5.48185841073,0,21.92743364292,0,2110.51548813105,43.85486728584,55.366769948373,4.13332124169042,20.7762433766667,0.04933672569657,0.00548185841073,0,0.02192743364292,0,2.11051548813105,0.04385486728584,4.42934159586984,0.3306656993352336,1.6620994701333358,0.0039469380557256,4.3854867285840005e-4,0,0.0017541946914336002,0,0.168841239050484,0.0035083893828672004,55092.6770278365,4138.8031001011495,21735.568598544447,49.33672569657,2.740929205365,0,21.92743364292,0,2359.940045819265,46.59579649120499,55.0926770278365,4.13880310010115,21.73556859854445,0.04933672569657,0.002740929205365,0,0.02192743364292,0,2.3599400458192648,0.046595796491204995,4.40741416222692,0.33110424800809196,1.738845487883556,0.0039469380557256,2.1927433642920002e-4,0,0.0017541946914336002,0,0.18879520366554117,0.0037276637192963998
