sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
48,2016-12-14T14:00:00Z,TRE ETK,SF,TRE,180,7.78,2.5,0.12,0.06,0.02,0.024,0.016,2.17,2016-12-14T14:00:00Z,12,0.14,0.04,0.02,0.03,0.0115,1.9049999999999998,72015.6,2.45,0.6898045977011494,0.7571490157937653,0.215,2.58,2039254.7268132002,0.008038058,0.04745017476660066,0.16939996616530584,1998665.3583234,345450.00000000006,279.813150165276,79.946614332936,39.973307166468,59.959960749702,22.9846516207191,3807.4575076060764,0.279813150165276,0.079946614332936,0.039973307166468,0.059959960749701995,0.0229846516207191,3.8074575076060766,0.019844904267040855,0.005669972647725958,0.002834986323862979,0.004252479485794468,0.0016301171362212128,0.2700324473479487
112,2016-12-15T19:00:00Z,D 9 TR 05,SF,TRE,93,7.42,51.9,0.3,0,0.02,0.109,0.007,3.29,2016-12-15T19:00:00Z,13,0.21,0.03,0.02,0.0665,0.0115,2.73,159948,0.21,1.825890410958904,0.6902216947527918,0.86,2.92,4529223.043955999,6.889764e-4,0.10538772923600222,0.006537539094870583,2039254.7268132002,29609.999999999996,428.243492630772,61.177641804396,40.785094536264005,135.6104393330778,23.451429358351803,5567.165404200036,0.428243492630772,0.061177641804396,0.040785094536264006,0.13561043933307781,0.023451429358351802,5.567165404200036,0.03037187890998383,0.004338839844283404,0.0028925598961889367,0.009617761654828213,0.0016632219403086386,0.39483442582978984
105,2016-12-16T19:20:00Z,D 9 TR 12,SF,TRE,104,7.35,16.1,0.18,0.03,0.02,0.039,0.011,1.72,2016-12-16T19:20:00Z,14,0.24,0.015,0.02,0.074,0.009,2.505,254782.74,2.84,0.16078678530859522,0.11393647809729228,0.0698,0.839,7214643.86682078,0.009317585599999999,0.16787314888042834,0.05550372803596287,4529223.043955999,400439.99999999994,1087.0135305494398,67.93834565933999,90.58446087911999,335.1625052527439,40.76300739560399,11345.703725109779,1.08701353054944,0.06793834565934,0.09058446087911999,0.33516250525274394,0.04076300739560399,11.345703725109779,0.07709315819499574,0.0048183223871872335,0.006424429849582978,0.023770390443457017,0.0028909934323123397,0.804659838660268
168,2017-01-04T03:30:00Z,11 TR 01 (19),SF,TRE,107,7.68,24.9,0.41,0.05,0.01,0.033,0.008,5.25,2017-01-04T03:30:00Z,15,0.295,0.04,0.015,0.036000000000000004,0.0095,3.485,14280,0.12,0.4857142857142857,0.04735020239309086,0.383,0.546,404364.57516,3.937008e-4,0.009408912730950757,0.04184338948164706,7214643.86682078,16920,2128.3199407121297,288.58575467283123,108.21965800231169,259.7271792055481,68.53911673479742,25143.033875870417,2.12831994071213,0.2885857546728312,0.10821965800231169,0.2597271792055481,0.06853911673479741,25.14303387587042,0.15094467664625036,0.020467074799491575,0.0076751530498093395,0.01842036731954242,0.004860930264879249,1.7831938919057035
169,2017-01-04T11:40:00Z,11 TR 02,SF,TRE,105,7.79,25.8,0.37,0.02,0.01,0.033,0.011,3.55,2017-01-04T11:40:00Z,16,0.39,0.035,0.01,0.033,0.0095,4.4,15760.800000000001,0,0.5360816326530613,0.012402682395846682,0.513,0.552,446296.1621976,0,0.01038459326120229,0,404364.57516,0,157.7021843124,14.1527601306,4.0436457516,13.34403098028,3.8414634640200003,1779.2041307040001,0.1577021843124,0.014152760130600002,0.0040436457516,0.013344030980280001,0.00384146346402,1.779204130704,0.011184552078893616,0.0010037418532340427,2.867833866382979e-4,9.463851759063831e-4,2.72444217306383e-4,0.12618469012085107
170,2017-01-04T19:50:00Z,11 TR 03,SF,TRE,105,7.69,21.4,0.3,0.02,0.01,0.027,0.008,2.87,2017-01-04T19:50:00Z,17,0.33499999999999996,0.02,0.01,0.03,0.0095,3.21,14071.2,0,0.47861224489795917,0.020496764304123113,0.441,0.513,398452.0175064,0,0.00927133703219568,0,446296.1621976,0,149.50921433619598,8.925923243952,4.462961621976,13.388884865927999,4.2398135408772,1432.610680654296,0.149509214336196,0.008925923243952,0.004462961621976,0.013388884865928,0.004239813540877199,1.432610680654296,0.010603490378453616,6.330442016987234e-4,3.165221008493617e-4,9.495663025480851e-4,3.0069599580689356e-4,0.1016035943726451
171,2017-01-05T04:00:00Z,11 TR 04,SF,TRE,107,7.72,20.5,0.37,0.01,0.01,0.024,0.008,2.49,2017-01-05T04:00:00Z,18,0.33499999999999996,0.015,0.01,0.025500000000000002,0.008,2.68,88876.2,1.82,0.2950737051792829,0.10706686657402827,0.19,0.842,2516693.7573414,0.0059711288,0.058559412441073225,0.10196702034892491,398452.0175064,256620,133.481425864644,5.976780262596001,3.9845201750640005,10.160526446413202,3.1876161400512,1067.851406917152,0.133481425864644,0.005976780262596001,0.003984520175064001,0.010160526446413201,0.0031876161400512,1.067851406917152,0.009466767791818724,4.2388512500680855e-4,2.825900833378724e-4,7.206047125115746e-4,2.2607206667029788e-4,0.0757341423345498
172,2017-01-08T15:40:00Z,11 TR 06,SF,TRE,97,7.65,30.1,0.4,0.02,0.01,0.033,0.006,4.14,2017-01-08T15:40:00Z,19,0.385,0.015,0.01,0.0285,0.007,3.315,45550.8,0.73,1.6870666666666667,0.68328056928588,0.857,2.63,1289855.0343276002,0.0023950132,0.03001285028186217,0.07979959175844727,2516693.7573414,102930,968.927096576439,37.75040636012099,25.166937573413996,71.7257720842299,17.6168563013898,8342.83980558674,0.9689270965764389,0.037750406360120996,0.025166937573413997,0.07172577208422991,0.0176168563013898,8.34283980558674,0.06871823379974744,0.0026773337844057444,0.0017848891896038296,0.005086934190370916,0.0012494224327226809,0.5916907663536696
173,2017-01-08T23:10:00Z,11 TR 14,SF,TRE,84,7.62,58.1,0.17,0.01,0.02,0.053,0.008,4.23,2017-01-08T23:10:00Z,20,0.28500000000000003,0.015,0.015,0.043,0.007,4.1850000000000005,41430,0.04,2.3016666666666667,0.20460362576983068,1.96,2.63,1173166.9712099999,1.312336e-4,0.027297706893787806,0.00480749538818827,1289855.0343276002,5640,367.60868478336613,19.347825514914003,19.347825514914003,55.463766476086796,9.028985240293201,5398.043318661007,0.3676086847833661,0.019347825514914003,0.019347825514914003,0.0554637664760868,0.009028985240293202,5.398043318661007,0.026071537927898306,0.0013721862067314896,0.0013721862067314896,0.003933600459296936,6.403535631413619e-4,0.38283995167808565
174,2017-01-09T04:10:00Z,11 TR 17,SF,TRE,89,7.61,31.4,0.11,0.04,0.02,0.033,0.006,3.55,2017-01-09T04:10:00Z,21,0.14,0.025,0.02,0.043,0.007,3.89,649857,5.2,0.7654381625441696,0.9473323844528476,0.118,4.97,18401901.240879,0.017060368000000003,0.4281826190894584,0.039843672394454785,1173166.9712099999,733200,164.24337596939998,29.329174280249998,23.4633394242,50.44617976202999,8.21216879847,4563.619518006899,0.1642433759694,0.029329174280249996,0.023463339424199998,0.05044617976202999,0.00821216879847,4.5636195180069,0.011648466380808511,0.002080083282287234,0.0016640666258297872,0.003577743245534042,5.824233190404256e-4,0.3236609587238936
