sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
13,2016-05-26T16:50:00Z,TRE,152,7.21,1.83,0.18,0,0,0.01,0.01,1.63,0.18,2016-05-26T16:50:00Z,2,0.0301,0.0238,83318.1,3114600,36.048611111111114,5.149801587301587,12.954,0.026750818724715856,0.003076686342132574,0.02,0.0369,2359305.8900307002,0.042500001360000005,0.05489725012665465,0.590908510638298,0.7741735927017714,1826514.0000000002,358614.4952846664,17010.595467121348,4317.529778756181,424.675060205526,0,0,23.593058900307003,23.593058900307003,3845.668600750041,424.675060205526,358.6144952846664,17.010595467121348,4.317529778756182,0.42467506020552603,0,0,0.023593058900307003,0.023593058900307003,3.845668600750041,0.42467506020552603,25.433652147848683,1.2064252104341382,0.30620778572738877,0.0301187985961366,0,0,0.0016732665886742555,0.0016732665886742555,0.2727424539539036,0.0301187985961366
41,2016-07-01T17:55:00Z,TRE,168,8.42,0.8,0.09,0.01,0,0.02,0.02,1.2,0.08,2016-07-01T18:00:00Z,3,0.0238,0.0172,173696.1,7687800,88.97916666666667,12.711309523809524,1.524,0.022593732927495513,0.0026560284159154474,0.0122,0.0301,4918525.8881967,0.00500000016,0.11444617973434845,1.2318872340425533,0.04368865934717926,214884,826312.3492170457,41413.98797861621,3934.82071055736,442.667329937703,49.18525888196701,0,98.37051776393402,98.37051776393402,5902.23106583604,393.48207105573607,826.3123492170457,41.41398797861621,3.9348207105573603,0.442667329937703,0.04918525888196701,0,0.09837051776393402,0.09837051776393402,5.90223106583604,0.39348207105573607,58.60371271042877,2.9371622679869653,0.27906529862108936,0.03139484609487256,0.003488316232763618,0,0.006976632465527236,0.006976632465527236,0.4185979479316341,0.027906529862108943
54,2016-09-28T17:25:00Z,TRE,217,8.41,1,0.08,0.01,0.02,0.02,0.01,1,0.05,2016-09-28T17:30:00Z,4,0.0172,0.115,64726.74,2504400,28.98611111111111,4.140873015873016,162.16376,0.025845208433157643,0.012514688606014247,0.0122,0.115,1832857.1933887799,0.5320333503584,0.04264763641589213,0.4590548936170213,12.475095810002362,22865090.16,397730.0109653652,15414.32899639964,1832.85719338878,146.6285754711024,18.3285719338878,36.6571438677756,36.6571438677756,18.3285719338878,1832.85719338878,91.642859669439,397.73001096536524,15.41432899639964,1.8328571933887798,0.14662857547110242,0.018328571933887802,0.036657143867775605,0.036657143867775605,0.018328571933887802,1.8328571933887798,0.091642859669439,28.207802196125193,1.0932148224396907,0.12998987187154468,0.010399189749723576,0.001299898718715447,0.002599797437430894,0.002599797437430894,0.001299898718715447,0.12998987187154468,0.006499493593577234
64,2016-10-27T17:10:00Z,TRE,161,7.74,15.6,0.29,0.01,0.09,0.03,0.02,9.09,0.19,2016-10-27T17:10:00Z,5,0.122,0.0504,161668.44,1173000,13.57638888888889,1.939484126984127,93.6498,0.1378247570332481,0.12700762137078178,0.0453,0.759,4577940.48020868,0.307250009832,0.10652130555384795,1.1465846808510638,2.884399587805287,13204621.799999999,737048.4173135974,35433.25931681518,71415.8714912554,1327.602739260517,45.7794048020868,412.01464321878115,137.33821440626042,91.5588096041736,41613.478965096896,869.8086912396492,737.0484173135975,35.43325931681518,71.4158714912554,1.327602739260517,0.0457794048020868,0.4120146432187812,0.1373382144062604,0.0915588096041736,41.613478965096895,0.8698086912396492,52.27293739812748,2.5129971146677432,5.064955424911731,0.09415622264258985,0.0032467662980203405,0.029220896682183063,0.009740298894061021,0.006493532596040681,2.951310564900489,0.06168855966238647
88,2016-11-10T07:00:00Z,TRE,140,8.06,19.9,0.26,0,0,0.08,0.02,8.25,0.26,2016-11-10T07:00:00Z,9,0.0504,1.63,504988.56,2633400,30.479166666666668,4.354166666666666,240.19764,0.19176295283663705,0.29587215265932715,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,3.5814791489361704,2.368432514526668,33867867.24,2001955.730637845,115255.45134957878,284563.7074263793,3717.917785470283,0,0,1143.9747032216258,285.99367580540644,117972.39126973014,3717.917785470283,2001.955730637845,115.25545134957878,284.5637074263793,3.717917785470283,0,0,1.1439747032216256,0.2859936758054064,117.97239126973014,3.717917785470283,141.98267593176206,8.17414548578573,20.18182322172903,0.2636821124447009,0,0,0.0811329576752926,0.02028323941882315,8.366836260264549,0.2636821124447009
89,2016-11-10T07:00:00Z,TRE,136,8.01,15.7,0.27,0,0,0.07,0.01,5.46,0.27,2016-11-10T07:00:00Z,9,0.0504,1.63,504988.56,2633400,30.479166666666668,4.354166666666666,240.19764,0.19176295283663705,0.29587215265932715,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,3.5814791489361704,2.368432514526668,33867867.24,1944756.9954767635,114540.46716006525,224505.035507244,3860.9146233729866,0,0,1000.9778653189225,142.99683790270322,78076.27349487593,3860.9146233729866,1944.7569954767634,114.54046716006525,224.505035507244,3.8609146233729863,0,0,1.0009778653189225,0.1429968379027032,78.07627349487593,3.8609146233729863,137.92602804799742,8.12343738723867,15.92234294377617,0.2738237321541125,0,0,0.07099133796588103,0.010141619709411576,5.537324361338719,0.2738237321541125
90,2016-11-10T07:00:00Z,TRE,136,7.88,12.2,0.44,0,0,0.08,0.03,4.76,0.44,2016-11-10T07:00:00Z,9,0.0504,1.63,504988.56,2633400,30.479166666666668,4.354166666666666,240.19764,0.19176295283663705,0.29587215265932715,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,3.5814791489361704,2.368432514526668,33867867.24,1944756.9954767635,112681.50826733011,174456.14224129787,6291.86086771894,0,0,1143.9747032216258,428.9905137081096,68066.49484168671,6291.86086771894,1944.7569954767634,112.68150826733012,174.45614224129787,6.291860867718941,0,0,1.1439747032216256,0.42899051370810953,68.0664948416867,6.291860867718941,137.92602804799742,7.9915963310163205,12.37277604548212,0.4462312672141093,0,0,0.0811329576752926,0.03042485912823472,4.8274109816799085,0.4462312672141093
91,2016-11-10T07:00:00Z,TRE,134,7.93,7.93,0.23,0,0,0.03,0.01,3.44,0.23,2016-11-10T07:00:00Z,9,0.0504,1.63,504988.56,2633400,30.479166666666668,4.354166666666666,240.19764,0.19176295283663705,0.29587215265932715,0.0345,1.77,14299683.79027032,0.7880500252176,0.3327306226308467,3.5814791489361704,2.368432514526668,33867867.24,1916157.6278962228,113396.49245684363,113396.49245684363,3288.9272717621734,0,0,428.9905137081096,142.99683790270322,49190.9122385299,3288.9272717621734,1916.1576278962227,113.39649245684363,113.39649245684363,3.288927271762174,0,0,0.42899051370810953,0.1429968379027032,49.1909122385299,3.288927271762174,135.8977041061151,8.042304429563378,8.042304429563378,0.23325725331646624,0,0,0.03042485912823472,0.010141619709411576,3.4887171800375816,0.23325725331646624
98,2016-12-10T18:30:00Z,TRE,99,7.6,30.7,0.3,0.04,0.04,0.07,0.01,2.95,0.22,2016-12-10T18:30:00Z,10,1.64,0.608,94138.8,89400,1.0347222222222223,0.14781746031746032,0.254,1.053006711409396,0.30975121875824835,0.608,1.64,2665713.9963636,8.333333600000001e-4,0.06202687351515596,0.6676510638297872,0.013435037311632016,35814,263905.6856399964,20259.42637236336,81837.41968836251,799.7141989090799,106.628559854544,106.628559854544,186.599979745452,26.657139963636,7863.8562892726195,586.457079199992,263.90568563999636,20.259426372363357,81.83741968836252,0.7997141989090799,0.106628559854544,0.106628559854544,0.186599979745452,0.026657139963636,7.863856289272619,0.586457079199992,18.716715293616765,1.4368387498130042,5.804072318323583,0.05671731907156595,0.007562309209542128,0.007562309209542128,0.013234041116698724,0.001890577302385532,0.5577203042037319,0.041592700652481704
104,2016-12-11T19:20:00Z,TRE,110,7.44,18.5,0.16,0.02,0.02,0.04,0.01,1.64,0.12,2016-12-11T19:20:00Z,11,0.605,0.215,70582.2,240000,2.777777777777778,0.3968253968253968,14.224,0.2940925,0.11528367081091362,0.177,0.605,1998665.3583234,0.04666666816,0.0465057255012964,0.5005829787234042,1.0034607063317207,2005584.0000000002,219853.189415574,14870.070265926097,36975.3091289829,319.786457331744,39.973307166468,39.973307166468,79.946614332936,19.986653583234,3277.8111876503754,239.839842998808,219.85318941557398,14.870070265926097,36.9753091289829,0.319786457331744,0.039973307166468,0.039973307166468,0.079946614332936,0.019986653583234,3.2778111876503755,0.23983984299880798,15.592424781246383,1.054614912477028,2.6223623495732555,0.02267989059090383,0.002834986323862979,0.002834986323862979,0.005669972647725958,0.0014174931619314894,0.23246887855676424,0.017009917943177872
