sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rainfall_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
114,2016-12-15T19:00:00Z,DZ 13,SF,ZIE,82,7.38,51.8,0.33,0.03,0.03,0.088,0.004,4.21,2016-12-15T19:00:00Z,13,0.35,0.025,0.035,0.08349999999999999,0.0025,4.855,59196,0.17,5.481111111111111,0.09498537899183329,5.26,5.6,1676244.075012,2.204521136324988e-13,0.021737129161826123,1.0141730860193259e-11,2659631.537628,43010,930.8710381697999,66.49078844070002,93.08710381698002,222.07923339193798,6.649078844070001,12912.511115183943,0.9308710381698,0.06649078844070001,0.09308710381698002,0.22207923339193797,0.006649078844070001,12.912511115183943,0.036793321666790516,0.0026280944047707513,0.003679332166679052,0.008777835311934306,2.6280944047707514e-4,0.5103759334064799
116,2016-12-15T22:00:00Z,DZ 15,SF,ZIE,79,7.34,45.6,0.35,0.01,0.03,0.082,0.001,4.03,2016-12-15T22:00:00Z,14,0.33999999999999997,0.02,0.03,0.08499999999999999,0.0025,4.12,80844,0.04,4.99037037037037,0.3879381540864618,4.33,5.52,2289247.178868,5.1871085560587945e-14,0.02968640566860381,1.7473009747167383e-12,1676244.075012,10120,569.92298550408,33.52488150024,50.28732225036,142.48074637602,4.19061018753,6906.125589049441,0.5699229855040799,0.03352488150024,0.05028732225036,0.14248074637601998,0.00419061018753,6.906125589049441,0.022526600217552567,0.0013250941304442689,0.0019876411956664033,0.005631650054388142,1.656367663055336e-4,0.2729693908715194
113,2016-12-16T02:30:00Z,DZ 18,SF,ZIE,84,7.47,31.2,0.24,0,0.02,0.055,0.001,3.37,2016-12-16T02:30:00Z,15,0.295,0.005,0.025,0.0685,0.001,3.7,22080,0,4.088888888888889,0.13439163333746315,3.88,4.28,625235.98176,0,0.008107909519108062,0,2289247.178868,0,675.32791776606,11.446235894339999,57.2311794717,156.813431752458,2.289247178868,8470.2145618116,0.6753279177660599,0.011446235894339999,0.0572311794717,0.15681343175245802,0.002289247178868,8.4702145618116,0.02669280307375731,4.524203910806323e-4,0.002262101955403162,0.006198159357804664,9.048407821612648e-5,0.334791089399668
117,2016-12-16T04:00:00Z,DZ 19,SF,ZIE,103,7.27,20.4,0.22,0.02,0.02,0.049,0.009,3.29,2016-12-16T04:00:00Z,16,0.22999999999999998,0.01,0.02,0.052000000000000005,0.004999999999999999,3.33,118776,0,2.4745,0.6798099138636782,1.54,3.85,3363361.819272,0,0.043615265445723694,0,625235.98176,0,143.80427580479997,6.2523598176,12.5047196352,32.51227105152,3.1261799087999993,2082.0358192608,0.14380427580479999,0.006252359817600001,0.012504719635200001,0.03251227105152,0.0031261799087999994,2.0820358192608,0.0056839634705454535,2.4712884654545455e-4,4.942576930909091e-4,0.0012850700020363636,1.2356442327272725e-4,0.08229390589963637
118,2016-12-16T17:23:00Z,DZ 01,SF,ZIE,98,7.31,22.6,0.24,0.01,0.06,0.039,0.001,2.4,2016-12-16T17:20:00Z,17,0.22999999999999998,0.015,0.04,0.044,0.004999999999999999,2.8449999999999998,360367.8,2.83,0.22647549019607843,0.21598704262697882,0.0723,1.51,10204479.856326599,3.6698793034115975e-12,0.1323292353260883,2.773294423086636e-11,3363361.819272,715990.0000000001,773.5732184325599,50.45042728908,134.53447277088,147.98792004796798,16.816809096359997,9568.764375828838,0.7735732184325599,0.050450427289079995,0.13453447277088001,0.14798792004796799,0.01681680909636,9.568764375828838,0.03057601653883636,0.001994088035141502,0.005317568093710672,0.005849324903081738,6.646960117138339e-4,0.37821203066517145
132,2017-01-04T03:20:00Z,9 DZ 101,SF,ZIE,96,7.5,35.5,0.12,0.04,0.01,0.024,0.001,7.12,2017-01-04T03:20:00Z,18,0.18,0.025,0.034999999999999996,0.0315,0.001,4.76,9970.2,0.1,0.83085,0.11458725703010876,0.671,1.01,282324.6279594,1.296777139014699e-13,0.003661117730408116,3.5420252352008987e-11,10204479.856326599,25300,1836.8063741387875,255.11199640816497,357.1567949714309,321.44111547428787,10.2044798563266,48573.32411611461,1.8368063741387877,0.25511199640816495,0.3571567949714309,0.3214411154742879,0.010204479856326599,48.573324116114605,0.07260104245607857,0.0100834781188998,0.014116869366459717,0.01270518242981375,4.0333912475599206e-4,1.9198942338385219
147,2017-01-04T06:40:00Z,8 DZ 103,SF,ZIE,92,7.51,39.1,0.16,0.02,0.01,0.03,0.001,6.15,2017-01-04T06:40:00Z,19,0.14,0.03,0.01,0.027,0.001,6.635,67852.2,0.03,0.8766434108527131,0.11010909351990505,0.712,1.05,1921360.3660133998,3.890331417044096e-14,0.024915738146396017,1.5613952089983818e-12,282324.6279594,7590,39.525447914316004,8.469738838782,2.823246279594,7.622764954903801,0.2823246279594,1873.223906510619,0.039525447914316,0.008469738838782,0.002823246279594,0.007622764954903801,2.823246279594e-4,1.8732239065106189,0.0015622706685500397,3.3477228611786556e-4,1.1159076203928853e-4,3.012950575060791e-4,1.1159076203928854e-5,0.07404047061306794
141,2017-01-05T04:10:00Z,9 DZ 109,SF,ZIE,95,7.5,25,0.1,0.03,0,0.024,0.001,3.16,2017-01-05T04:10:00Z,20,0.13,0.025,0.005,0.027,0.001,4.655,139021.2,1.76,0.46620120724346076,0.17493380014743726,0.273,1.38,3936642.0501564,2.2823277646658698e-12,0.05104942530968414,4.4708197023187824e-11,1921360.3660133998,445280,249.77684758174198,48.034009150334995,9.606801830066999,51.87672988236179,1.9213603660134,8943.932503792377,0.24977684758174198,0.048034009150335,0.009606801830067,0.0518767298823618,0.0019213603660134,8.943932503792377,0.009872602671215099,0.0018985774367721341,3.7971548735442687e-4,0.002050463631713905,7.594309747088537e-5,0.3535151187269714
131,2017-01-08T15:00:00Z,9 DZ 05,SF,ZIE,87,7.5,28.9,0.13,0,0,0.03,0.003,5.5,2017-01-08T15:00:00Z,21,0.115,0.015,0,0.027,0.002,4.33,24522,0.76,1.7029166666666666,0.2360080906252574,1.41,2.23,694385.7221339999,9.85550625651171e-13,0.009004626686031154,1.0944935975858415e-10,3936642.0501564,192280,452.71383576798604,59.049630752346,0,106.2893353542228,7.873284100312801,17045.66007717721,0.452713835767986,0.059049630752346,0,0.1062893353542228,0.007873284100312801,17.04566007717721,0.017893827500710908,0.002333977500092727,0,0.004201159500166909,3.111970000123637e-4,0.6737415050267672
133,2017-01-08T19:00:00Z,9 DZ 07,SF,ZIE,79,7.51,44.8,0.15,0,0,0.033,0.001,5.83,2017-01-08T19:00:00Z,22,0.14,0,0,0.0315,0.002,5.665,25008,0.02,3.473333333333333,0.65684276980296,2.39,4.27,708147.709776,2.5935542780293973e-14,0.009183088824902827,2.824272232885476e-12,694385.7221339999,5060,97.21400109876,0,0,21.873150247220998,1.388771444268,3933.6951158891097,0.09721400109876,0,0,0.021873150247220998,0.0013887714442679998,3.9336951158891096,0.003842450636314624,0,0,8.645513931707904e-4,5.489215194735177e-5,0.1554820203908739
134,2017-01-08T21:00:00Z,9 DZ 08,SF,ZIE,73,7.45,65.3,0.15,0,0.01,0.035,0.001,6.62,2017-01-08T21:00:00Z,23,0.15,0,0.005,0.034,0.001,6.225,31266,0.01,4.3425,0.04614699832649418,4.27,4.42,885354.538302,1.2967771390146986e-14,0.0114810642674109,1.129492100044777e-12,708147.709776,2530,106.22215646640001,0,3.54073854888,24.077022132384002,0.7081477097760001,4408.2194933556,0.1062221564664,0,0.00354073854888,0.024077022132384003,7.08147709776e-4,4.4082194933556,0.004198504208158102,0,1.3995014027193674e-4,9.5166095384917e-4,2.7990028054387353e-5,0.17423792463856125
135,2017-01-08T23:00:00Z,9 DZ 09,SF,ZIE,73,7.47,54.3,0.11,0,0.01,0.033,0.001,5.54,2017-01-08T23:00:00Z,24,0.13,0,0.01,0.034,0.001,6.08,99252,0.06,3.44625,0.4947452600484673,2.68,4.23,2810503.698444,7.780662834088192e-14,0.03644593458290368,2.13485068310966e-12,885354.538302,15180,115.09608997926001,0,8.85354538302,30.102054302268,0.8853545383020001,5382.95559287616,0.11509608997926,0,0.00885354538302,0.030102054302268002,8.853545383020001e-4,5.3829555928761605,0.004549252568350198,0,3.4994250525770753e-4,0.0011898045178762055,3.499425052577075e-5,0.21276504319668618
139,2017-01-09T07:00:00Z,9 DZ 13,SF,ZIE,81,7.44,35.4,0.07,0,0,0.047,0.017,3.83,2017-01-09T07:00:00Z,25,0.09,0,0.005,0.04,0.009000000000000001,4.6850000000000005,118428,0.47,1.8275925925925927,0.37703930326465934,1.36,2.65,3353507.556516,6.094852553369084e-13,0.043487477741346446,1.4015189819975005e-11,2810503.698444,118910,252.94533285996,0,14.05251849222,112.42014793776,25.294533285996003,13167.209827210141,0.25294533285995996,0,0.01405251849222,0.11242014793776,0.025294533285996002,13.167209827210142,0.009997839243476678,0,5.554355135264823e-4,0.004443484108211858,9.99783924347668e-4,0.5204430761743138
140,2017-01-10T01:00:00Z,9 DZ 22,SF,ZIE,87,7.45,23.6,0.07,0.01,0,0.021,0.001,3.39,2017-01-10T01:00:00Z,26,0.07,0.005,0,0.034,0.009000000000000001,3.6100000000000003,148650,1.98,2.5807291666666665,1.4639271227127513,1.35,7.26,4209299.30655,2.5676187352491034e-12,0.054585178895625606,4.703875277497477e-11,3353507.556516,500940,234.74552895612,16.767537782580003,0,114.01925692154401,30.181568008644003,12106.162279022761,0.23474552895612003,0.016767537782580003,0,0.11401925692154402,0.030181568008644005,12.10616227902276,0.009278479405380237,6.627485289557313e-4,0,0.0045066899968989734,0.0011929473521203164,0.4785044379060379
142,2017-01-10T17:00:00Z,DZ 01,SF,ZIE,67,7.49,124,0.43,0,0.01,0.066,0.003,5.4,2017-01-10T17:00:00Z,27,0.25,0.005,0.005,0.043500000000000004,0.002,4.3950000000000005,64296,0.53,8.93,0.7363670033593056,7.51,9.8,1820659.994712,6.872918836777903e-13,0.0236098800018375,2.911035056613164e-11,4209299.30655,134090.00000000003,1052.3248266374999,21.046496532749998,21.046496532749998,183.10451983492501,8.418598613099999,18499.870452287254,1.0523248266375,0.021046496532749998,0.021046496532749998,0.183104519834925,0.008418598613099999,18.499870452287254,0.04159386666551383,8.318773333102766e-4,8.318773333102766e-4,0.007237332799799407,3.3275093332411063e-4,0.7312201759797333
138,2017-01-10T19:00:00Z,R 10 DZ 02,SF,ZIE,65,7.35,137,0.25,0.03,0.01,0.071,0.001,5.56,2017-01-10T19:00:00Z,28,0.33999999999999997,0.015,0.01,0.0685,0.002,5.48,82320,0.22,11.433333333333334,0.7992420652017002,10,12.1,2331042.84504,2.852909705832337e-13,0.030228401794065926,9.437844995140913e-12,1820659.994712,55660,619.02439820208,27.30989992068,18.20659994712,124.71520963777202,3.6413199894240003,9977.216771021762,0.6190243982020799,0.02730989992068,0.01820659994712,0.12471520963777201,0.0036413199894240003,9.97721677102176,0.02446736751786877,0.0010794426846118576,7.196284564079051e-4,0.00492945492639415,1.4392569128158104e-4,0.394356394111532
146,2017-01-10T21:00:00Z,PK 10 DZ 03,SF,ZIE,63,7.46,150,0.4,0,0.01,0.077,0.003,5.32,2017-01-10T21:00:00Z,29,0.325,0.015,0.01,0.074,0.002,5.4399999999999995,413358,0.4,5.741083333333333,3.0675161155318507,2.16,12,11704995.242225999,5.187108556058796e-13,0.15178755720106296,3.4173476744129793e-12,2331042.84504,101200,757.5889246380001,34.9656426756,23.310428450400003,172.49717053296,4.66208569008,12680.873077017599,0.7575889246380001,0.0349656426756,0.023310428450400003,0.17249717053296001,0.00466208569008,12.6808730770176,0.029944226270276684,0.0013820412124743082,9.213608083162056e-4,0.006818069981539921,1.842721616632411e-4,0.5012202797240157
148,2017-01-11T17:00:00Z,F 10 DZ 13,SF,ZIE,78,7.62,27.5,0.45,0.04,0,0.021,0.001,3.42,2017-01-11T17:00:00Z,30,0.42500000000000004,0.02,0.005,0.049,0.002,4.37,58284,0.38,1.619,0.25960661243569844,1.29,2.16,1650419.1105479999,4.927753128255855e-13,0.021402237246906444,2.3024476700295107e-11,11704995.242225999,96140,4974.62297794605,234.09990484451998,58.524976211129996,573.544766869074,23.409990484452,51150.82920852762,4.9746229779460505,0.23409990484451998,0.058524976211129995,0.573544766869074,0.023409990484451998,51.15082920852762,0.19662541414806523,0.009252960665791303,0.002313240166447826,0.022669753631188692,9.252960665791304e-4,2.0217719054753998
143,2017-01-12T03:00:00Z,10 DZ 06 F,SF,ZIE,69,7.38,635,1.1,0.01,0,0.229,0.003,3.54,2017-01-12T03:00:00Z,31,0.775,0.025,0,0.125,0.002,3.48,364649.4,2.36,0.5154783715012723,0.38103239059326255,0.175,1.4,10325721.2684418,3.0603940480746886e-12,0.13390146473718495,2.2855568115565248e-11,1650419.1105479999,597080,1279.0748106746998,41.2604777637,0,206.3023888185,3.300838221096,5743.4585047070395,1.2790748106746999,0.0412604777637,0,0.2063023888185,0.003300838221096,5.743458504707039,0.05055631662745849,0.0016308489234664032,0,0.008154244617332015,1.3046791387731225e-4,0.22701417014652328
144,2017-01-20T07:30:00Z,DZ 09,SF,ZIE,86,7.38,35.4,0.26,0.02,0.01,0.021,0.001,3.18,2017-01-20T07:30:00Z,32,0.68,0.015,0.005,0.125,0.002,3.3600000000000003,20214,0.59,1.40375,0.17484931400693468,1.2,1.98,572396.745258,7.650985120186722e-13,0.007422703035292136,1.0307545760364104e-10,10325721.2684418,149270,7021.490462540424,154.885819026627,51.628606342209004,1290.7151585552251,20.6514425368836,34694.42346196445,7.021490462540425,0.154885819026627,0.051628606342209,1.290715158555225,0.020651442536883603,34.69442346196445,0.27752926729408794,0.006121969131487232,0.0020406563771624107,0.05101640942906027,8.162625508649645e-4,1.3713210854531401
136,2017-01-20T11:30:00Z,DZ 11,SF,ZIE,78,7.43,86.9,0.42,0.01,0,0.041,0.001,4.23,2017-01-20T11:30:00Z,33,0.33999999999999997,0.015,0.005,0.031,0.001,3.705,66204,0.27999999999999997,3.065,0.34471105912882205,2.09,3.37,1874688.538788,3.630975989241156e-13,0.02431050913962999,1.4935828650836806e-11,572396.745258,70840,194.61489338772,8.58595117887,2.86198372629,17.744299102998,0.572396745258,2120.72994118089,0.19461489338771998,0.00858595117887,0.00286198372629,0.017744299102998,5.72396745258e-4,2.12072994118089,0.007692288276194465,3.393656592438735e-4,1.1312188641462451e-4,7.01355695770672e-4,2.26243772829249e-5,0.08382331783323675
137,2017-01-20T17:30:00Z,PK DZ 14,SF,ZIE,75,7.36,52,0.34,0.01,0,0.027,0.001,4.28,2017-01-20T17:30:00Z,34,0.38,0.01,0,0.034,0.001,4.255000000000001,199452,0.5,2.770166666666667,0.3772678947720972,2.16,3.37,5647851.767844,6.483885695073494e-13,0.07323998049842124,8.852932033772537e-12,1874688.538788,126500,712.3816447394399,18.74688538788,0,63.739410318792,1.874688538788,7976.7997325429415,0.71238164473944,0.01874688538788,0,0.063739410318792,0.001874688538788,7.976799732542942,0.028157377262428458,7.409836121691699e-4,0,0.002519344281375178,7.4098361216917e-5,0.3152885269779819
145,2017-01-21T13:30:00Z,DZ 24,SF,ZIE,82,7.48,24.2,0.1,0.05,0.01,0.018,0,3.55,2017-01-21T13:30:00Z,35,0.22000000000000003,0.030000000000000002,0.005,0.0225,5e-4,3.915,48036,0.06,1.9526829268292683,0.115845250015784,1.76,2.14,1360228.062492,7.780662834088192e-14,0.017639109676624767,4.41102922807894e-12,5647851.767844,15180,1242.5273889256803,169.43555303532003,28.23925883922,127.07666477648999,2.823925883922,22111.339671109257,1.2425273889256803,0.16943555303532,0.028239258839220002,0.12707666477649,0.002823925883922,22.11133967110926,0.049111754502991316,0.006697057432226088,0.001116176238704348,0.005022793074169565,1.1161762387043478e-4,0.8739659949055043
149,2017-01-21T20:20:00Z,D 11 Zi11,SF,ZIE,83,7.51,23.2,0.38,0,0,0.015,0.001,3.02,2017-01-21T20:20:00Z,36,0.24,0.025,0.005,0.0165,5e-4,3.285,921166.2,5.7,0.6516455857385399,0.6332525659967265,0.136,2.96,26084522.346971396,7.391629692383783e-12,0.3382577989882518,2.1852059921434377e-11,1360228.062492,1442100.0000000002,326.45473499807997,34.0057015623,6.80114031246,22.443763031118,0.680114031246,4468.34918528622,0.3264547349980799,0.0340057015623,0.00680114031246,0.022443763031118,6.801140312459999e-4,4.46834918528622,0.012903349209410274,0.001344098875980237,2.6881977519604744e-4,8.871052581469565e-4,2.688197751960474e-5,0.17661459230380316
197,2017-02-07T05:00:00Z,R DZ03,SF,ZIE,85,7.56,28.9,0.16,0.1,0.01,0.045,0.002,2.72,2017-02-07T05:00:00Z,37,0.27,0.05,0.005,0.03,0.0015,2.87,37680,0.73,2.6166666666666667,0.5955827739111585,1.86,3.89,1066978.79496,9.4664731148073e-13,0.013836323853260496,6.841754511677282e-11,26084522.346971396,184690,7042.821033682278,1304.22611734857,130.42261173485699,782.5356704091419,39.126783520457096,74862.579135807915,7.042821033682277,1.3042261173485699,0.13042261173485697,0.7825356704091418,0.03912678352045709,74.86257913580792,0.2783723728728173,0.05155043942089209,0.0051550439420892085,0.03093026365253525,0.0015465131826267625,2.958995222759206
198,2017-02-07T09:00:00Z,R DZ05,SF,ZIE,75,7.56,40.3,0.16,0.09,0.01,0.06,0.002,3.93,2017-02-07T09:00:00Z,38,0.16,0.095,0.01,0.0525,0.002,3.325,92436,0.44,6.4191666666666665,1.4899866257545857,4.03,8.12,2617496.069292,5.705819411664674e-13,0.03394305816613554,1.6809974468821672e-11,1066978.79496,111320,170.7166071936,101.36298552120002,10.6697879496,56.016386735400005,2.1339575899200005,3547.704493242001,0.17071660719360002,0.10136298552120002,0.010669787949600001,0.056016386735400006,0.0021339575899200006,3.5477044932420005,0.006747691983936759,0.004006442115462451,4.2173074899604746e-4,0.002214086432229249,8.43461497992095e-5,0.1402254740411858
199,2017-02-07T13:00:00Z,P DZ07,SF,ZIE,67,7.48,57.1,0.18,0.05,0.01,0.066,0.002,4.07,2017-02-07T13:00:00Z,39,0.16999999999999998,0.07,0.01,0.063,0.002,4,210594,0.08,5.849833333333334,1.3838762701460874,3.81,8.12,5963358.077118,1.0374217112117589e-13,0.07733139027477551,1.3415272989733799e-12,2617496.069292,20240,444.97433177964,183.22472485044003,26.174960692920003,164.902252365396,5.2349921385839995,10469.984277168,0.44497433177964,0.18322472485044003,0.026174960692920003,0.16490225236539602,0.005234992138584,10.469984277168,0.017587918252159683,0.0072420839861834,0.0010345834265976285,0.00651787558756506,2.0691668531952568e-4,0.4138333706390514
200,2017-02-07T23:00:00Z,F DZ12,SF,ZIE,76,7.51,48.8,0.2,0.1,0.01,0.066,0.002,2.58,2017-02-07T23:00:00Z,40,0.19,0.07500000000000001,0.01,0.066,0.002,3.325,184722,0.8200000000000001,2.137986111111111,0.6394004839118664,1.51,3.75,5230744.611533999,1.063357253992053e-12,0.06783103542521193,1.5676559370296987e-11,5963358.077118,207460,1133.03803465242,447.2518557838501,59.63358077118,393.581633089788,11.926716154236,19828.16560641735,1.13303803465242,0.44725185578385007,0.05963358077118,0.39358163308978805,0.011926716154236001,19.82816560641735,0.04478411204159763,0.01767793896378854,0.002357058528505138,0.015556586288133915,4.714117057010277e-4,0.7837219607279585
