sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
9,2016-05-26T15:30:00Z,ZIE,SF,ZIE,155,7.37,2.67,0.33,0,0,0.008,0.005,1.55,0.33,2016-05-26T15:30:00Z,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0385,0.0171,79990.32,12.954,0.026436089629188975,0.005076359244848863,0.0157,0.0385,2265073.65292104,0.042500001360000005,0.029372929210348734,1.4469105568479126,NA,3277362.0000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2016-06-30T15:55:00Z,ZIE  BES  FLUME  OUTFLOWW,SF,ZIE,173,8.29,2.6,0.07,0.01,0,0.01,0.007,1.07,0.06,2016-06-30T16:00:00Z,3,164,7.83,2.635,0.2,0.005,0,0.009000000000000001,0.006,1.31,0.195,0.0171,0.0723,76224.2586,163.68776,0.007412792099428171,0.012181119341653826,0,0.0969,2158430.668464634,0.5370333505184001,0.027990008690665515,19.186608923687015,2265073.65292104,41413003.28,391857.7419553399,18777.460582715423,5889.191497594705,158.55515570447284,22.650736529210402,0,22.650736529210402,15.85551557044728,2423.628808625513,135.90441917526238,391.8577419553399,18.77746058271542,5.889191497594705,0.15855515570447282,0.0226507365292104,0,0.0226507365292104,0.01585551557044728,2.423628808625513,0.1359044191752624,15.488448298630036,0.7421921178938902,0.23277436749386185,0.006267002201757819,8.952860288225454e-4,0,8.952860288225454e-4,6.267002201757818e-4,0.09579560508401237,0.005371716172935272,371472.0790790506,17735.526702371742,5968.46907544694,453.01473058420805,11.325368264605201,0,20.385662876289363,13.590441917526242,2967.2464853265624,441.6893623196028,371.4720790790506,17.735526702371743,5.96846907544694,0.45301473058420805,0.0113253682646052,0,0.020385662876289363,0.01359044191752624,2.9672464853265623,0.4416893623196028,14.682690872689747,0.7010089605680531,0.2359078685947407,0.01790572057645091,4.476430144112727e-4,0,8.05757425940291e-4,5.371716172935273e-4,0.11728246977575345,0.017458077562039636
61,2016-10-27T16:15:00Z,ZIE ETK,SF,ZIE,167,7.71,23.6,0.4,0.01,0.03,0.048,0.02,6.2,0.36,2016-10-27T16:20:00Z,4,170,8,13.100000000000001,0.23500000000000001,0.01,0.015,0.029,0.0135,3.6350000000000002,0.21,0.0654,0.0483,226382.46,93.6498,0.1925020918367347,0.21763290080013198,0.0483,1.16,6410437.48330362,0.307250009832,0.08312900826055707,3.696062496847849,2158430.668464634,23693399.399999995,360457.9216335939,16641.50045386233,50938.96377576537,863.3722673858537,21.58430668464634,64.75292005393902,103.60467208630244,43.16861336929268,13382.270144480732,777.0350406472683,360.4579216335939,16.641500453862328,50.938963775765366,0.8633722673858537,0.02158430668464634,0.06475292005393903,0.10360467208630243,0.04316861336929268,13.382270144480731,0.7770350406472682,14.24734868116972,0.6577668163581948,2.013397777698236,0.034125386062681964,8.53134651567049e-4,0.002559403954701147,0.004095046327521835,0.001706269303134098,0.5289434839715704,0.030712847456413762,366933.2136389878,17267.445347717072,28275.44175688671,507.231207089189,21.58430668464634,32.37646002696951,62.5944893854744,29.13881402427256,7845.895479868946,453.27044037757315,366.93321363898775,17.26744534771707,28.27544175688671,0.507231207089189,0.02158430668464634,0.03237646002696951,0.06259448938547439,0.02913881402427256,7.845895479868946,0.45327044037757314,14.503289076639831,0.6825077212536391,1.1176063935528344,0.020048664311825653,8.53134651567049e-4,0.0012797019773505736,0.0024740904895444423,0.001151731779615516,0.3101144458446224,0.017915827682908027
72,2016-11-10T07:00:00Z,3  Zi  01,SF,ZIE,144,8.02,21.3,0.29,0.01,0.01,0.065,0.003,9.36,0.27,2016-11-10T07:00:00Z,8,155.5,7.865,22.450000000000003,0.345,0.01,0.02,0.0565,0.0115,7.779999999999999,0.315,0.0503,3.01,824310.36,240.19764,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,0.7880500252176,0.30269174884707395,2.6034737590939057,6410437.48330362,60770002.92000001,923102.9975957213,51411.70861609503,136542.3183943671,1859.0268701580494,64.1043748330362,64.1043748330362,416.6784364147353,19.23131244991086,60001.694843721874,1730.8181204919774,923.1029975957213,51.41170861609503,136.5423183943671,1.8590268701580495,0.0641043748330362,0.0641043748330362,0.4166784364147353,0.01923131244991086,60.00169484372187,1.7308181204919773,36.486284489949455,2.032083344509685,5.396929580805024,0.0734793229311482,0.0025337697562464903,0.0025337697562464903,0.016469503415602185,7.60130926873947e-4,2.371608491846714,0.06841178341865523,996823.0286537128,50418.09080618297,143914.32150016626,2211.6009317397484,64.1043748330362,128.2087496660724,362.1897178066545,73.72003105799162,49873.20362010216,2019.2878072406402,996.8230286537129,50.41809080618297,143.91432150016627,2.2116009317397483,0.0641043748330362,0.1282087496660724,0.36218971780665454,0.07372003105799163,49.87320362010216,2.0192878072406404,39.40011970963292,1.9928099132878643,5.68831310277337,0.08741505659050389,0.0025337697562464903,0.005067539512492981,0.014315799122792669,0.0029138352196834637,1.971272870359769,0.07981374732176444
73,2016-11-10T07:00:00Z,3  Zi 05,SF,ZIE,131,7.98,17.2,0.27,0,0,0.052,0.002,7.2,0.27,2016-11-10T07:00:00Z,8,137.5,8,19.25,0.28,0.005,0.005,0.058499999999999996,0.0025,8.28,0.27,0.0503,3.01,824310.36,240.19764,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,0.7880500252176,0.30269174884707395,2.6034737590939057,23341870.34463492,60770002.92000001,3057785.0151471742,186268.1253501867,401480.1699277206,6302.304993051429,0,0,1213.777257921016,46.68374068926984,168061.46648137143,6302.304993051429,3057.7850151471744,186.26812535018666,401.4801699277206,6.302304993051429,0,0,1.2137772579210158,0.046683740689269844,168.06146648137144,6.302304993051429,120.86106779237844,7.362376496054809,15.868781420068009,0.24910296415223038,0,0,0.0479753856885777,0.0018452071418683731,6.642745710726143,0.24910296415223038,3209507.1723873015,186734.96275707937,449331.0041342222,6535.723696497778,116.7093517231746,116.7093517231746,1365.499415161143,58.3546758615873,193270.68645357713,6302.304993051429,3209.5071723873016,186.73496275707936,449.3310041342222,6.5357236964977785,0.1167093517231746,0.1167093517231746,1.3654994151611428,0.0583546758615873,193.27068645357713,6.302304993051429,126.85799100345065,7.380828567473492,17.76011874048309,0.25832899986157226,0.004613017854670933,0.004613017854670933,0.053972308899649914,0.0023065089273354663,7.639157567335064,0.24910296415223038
74,2016-11-10T07:00:00Z,3 Zi  07,SF,ZIE,129,7.77,16.1,0.28,0.01,0,0.046,0.002,6.5,0.27,2016-11-10T07:00:00Z,8,130,7.875,16.65,0.275,0.005,0,0.049,0.002,6.85,0.27,0.0503,3.01,824310.36,240.19764,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,0.7880500252176,0.30269174884707395,2.6034737590939057,23341870.34463492,60770002.92000001,3011101.274457905,181366.33257781333,375804.11254862224,6535.723696497778,233.4187034463492,0,1073.7260358532064,46.68374068926984,151722.15724012698,6302.304993051429,3011.1012744579048,181.36633257781332,375.80411254862224,6.5357236964977785,0.2334187034463492,0,1.0737260358532064,0.046683740689269844,151.72215724012696,6.302304993051429,119.01586065051006,7.168629746158629,14.853917492040404,0.25832899986157226,0.009226035709341865,0,0.04243976426297258,0.0018452071418683731,5.996923211072212,0.24910296415223038,3034443.1448025396,183817.22896399998,388642.1412381714,6419.014344774604,116.7093517231746,0,1143.7516468871113,46.68374068926984,159891.81186074918,6302.304993051429,3034.44314480254,183.81722896399998,388.6421412381714,6.419014344774604,0.1167093517231746,0,1.1437516468871112,0.046683740689269844,159.8918118607492,6.302304993051429,119.93846422144426,7.265503121106718,15.361349456054205,0.2537159820069013,0.004613017854670933,0,0.04520757497577514,0.0018452071418683731,6.319834460899177,0.24910296415223038
75,2016-11-10T07:00:00Z,3 Zi  08,SF,ZIE,128,7.66,10.2,0.23,0,0,0.042,0.013,4.83,0.23,2016-11-10T07:00:00Z,8,128.5,7.715,13.15,0.255,0.005,0,0.044,0.0075,5.665,0.25,0.0503,3.01,824310.36,240.19764,0.31216782549420585,0.5992303386853232,0.0404,4.07,23341870.34463492,0.7880500252176,0.30269174884707395,2.6034737590939057,23341870.34463492,60770002.92000001,2987759.40411327,178798.7268399035,238087.07751527618,5368.6301792660315,0,0,980.3585544746667,303.444314480254,112741.23376458668,5368.6301792660315,2987.7594041132697,178.7987268399035,238.08707751527618,5.368630179266032,0,0,0.9803585544746667,0.30344431448025394,112.74123376458667,5.368630179266032,118.09325707957588,7.06714335335587,9.410556423528702,0.21219882131486292,0,0,0.038749349979235834,0.011993846422144424,4.456175247612121,0.21219882131486292,2999430.3392855874,180082.5297088584,306945.5950319492,5952.176937881904,116.7093517231746,0,1027.0422951639364,175.0640275847619,132231.69550235683,5835.46758615873,2999.4303392855873,180.0825297088584,306.9455950319492,5.952176937881904,0.1167093517231746,0,1.0270422951639364,0.17506402758476192,132.2316955023568,5.83546758615873,118.55455886504298,7.117886549757249,12.132236957784553,0.23526391058821755,0.004613017854670933,0,0.040594557121104206,0.006919526782006399,5.226549229342166,0.23065089273354664
99,2016-12-10T20:30:00Z,D 6 ZI 05,SF,ZIE,84,7.25,39.8,0.33,0.04,0.04,0.064,0.006,3.75,0.25,2016-12-10T20:30:00Z,9,106,7.455,25,0.28,0.02,0.02,0.053000000000000005,0.0095,4.29,0.24,3,0.922,152288.4,0.254,1.7266258503401362,0.6300715463927554,0.893,3,4312327.3226748,8.333333600000001e-4,0.05592122137725254,0.014901916293605504,23341870.34463492,64262,1960717.1089493332,169228.55999860316,929006.4397164697,7702.817213729524,933.6748137853969,933.6748137853969,1493.8797020566349,140.0512220678095,87532.01379238095,5835.46758615873,1960.7171089493331,169.22855999860317,929.0064397164698,7.702817213729524,0.9336748137853969,0.9336748137853969,1.493879702056635,0.1400512220678095,87.53201379238097,5.83546758615873,77.49869995847166,6.688875889272852,36.71962212318062,0.30445917840828157,0.03690414283736746,0.03690414283736746,0.05904662853978794,0.005535621425605119,3.4597633910032,0.23065089273354664,2474238.2565313014,174013.64341925332,583546.7586158729,6535.723696497778,466.8374068926984,466.8374068926984,1237.119128265651,221.74776827403173,100136.6237784838,5602.048882712381,2474.2382565313014,174.01364341925333,583.5467586158729,6.5357236964977785,0.4668374068926984,0.4668374068926984,1.2371191282656508,0.22174776827403173,100.13662377848381,5.602048882712381,97.79597851902376,6.8780096213143604,23.065089273354662,0.25832899986157226,0.01845207141868373,0.01845207141868373,0.04889798925951189,0.008764733923874772,3.95796931930766,0.22142485702420478
102,2016-12-11T21:00:00Z,D 6 ZI 12,SF,ZIE,97,7.43,22.6,0.19,0,0.02,0.033,0.003,2.06,0.17,2016-12-11T21:00:00Z,10,90.5,7.34,31.2,0.26,0.02,0.03,0.0485,0.0045000000000000005,2.9050000000000002,0.21000000000000002,0.899,0.523,41766,0,0.6824509803921569,0.11124717172517734,0.523,0.904,1182681.431802,0,0.015336727761551962,0,4312327.3226748,0,418295.7502994556,32040.59200747376,97458.59749245047,819.342191308212,0,86.246546453496,142.3068016482684,12.9369819680244,8883.394284710086,733.095644854716,418.29575029945556,32.04059200747376,97.45859749245048,0.819342191308212,0,0.08624654645349598,0.1423068016482684,0.0129369819680244,8.883394284710088,0.733095644854716,16.53342886559113,1.2664265615602277,3.8521184779624695,0.03238506685012695,0,0.003408954405276521,0.005624774768706261,5.113431607914783e-4,0.3511223037434817,0.028976112444850436,390265.6227020694,31652.48254843303,134544.61246745376,1121.205103895448,86.246546453496,129.369819680244,209.1478751497278,19.4054729520366,12527.310872370294,905.588737761708,390.2656227020694,31.652482548433028,134.54461246745376,1.1212051038954478,0.08624654645349598,0.129369819680244,0.2091478751497278,0.019405472952036602,12.527310872370293,0.905588737761708,15.425518683876259,1.2510862667364833,5.317968872231374,0.044316407268594774,0.003408954405276521,0.005113431607914783,0.008266714432795565,7.670147411872175e-4,0.49515062736641474,0.03579402125540348
46,2016-12-12T14:00:00Z,ZIE ETK,SF,ZIE,167,7.76,2.5,0.11,0.05,0.03,0.008,0.008,1.95,0.03,2016-12-12T14:00:00Z,11,132,7.595,12.55,0.15,0.025,0.025,0.0205,0.0055,2.005,0.1,0.523,4.65,131674.2,77.978,0.5080023148148148,0.6586413650769688,0.247,4.65,3728598.1752474,0.25583334152,0.048351562481926576,5.291108050864508,1182681.431802,19728434,197507.799110934,9177.60791078352,2956.7035795049997,130.09495749822,59.1340715901,35.480442954059995,9.461451454415998,9.461451454415998,2306.2287920138997,35.480442954059995,197.507799110934,9.17760791078352,2.9567035795049996,0.13009495749821998,0.0591340715901,0.03548044295406,0.009461451454415999,0.009461451454415999,2.3062287920138997,0.03548044295406,7.806632375926245,0.362751300821483,0.1168657541306324,0.005142093181747825,0.002337315082612648,0.001402389049567589,3.7397041321802365e-4,3.7397041321802365e-4,0.09115528822189327,0.001402389049567589,156113.94899786398,8982.46547453619,14842.651969115099,177.4022147703,29.56703579505,29.56703579505,24.244969351941,6.504747874911,2371.27627076301,118.2681431802,156.113948997864,8.98246547453619,14.8426519691151,0.1774022147703,0.02956703579505,0.02956703579505,0.024244969351941,0.0065047478749109995,2.3712762707630097,0.1182681431802,6.17051181809739,0.3550381610488612,0.5866660857357746,0.007011945247837944,0.001168657541306324,0.001168657541306324,9.582991838711857e-4,2.571046590873913e-4,0.09372633481276718,0.004674630165225296
