sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
108,2016-12-15T10:00:00Z,WIL,135,7.59,18.8,0.28,0,0.02,0.1,0.04,3.87,0.26,2016-12-15T10:00:00Z,12,0.712,4.23,52203,21600,0.25,0.03571428571428571,14.985999999999999,2.4168055555555554,1.1814011975965404,0.712,4.23,1478224.3639409998,0.049166668239999996,0.018301215435872563,0.19699245283018868,2.6865247508986463,3971290,199560.289132035,11219.722922312189,27790.6180420908,413.90282190348,0,29.564487278819996,147.82243639409998,59.12897455763999,5720.72828845167,384.33833462466,199.560289132035,11.219722922312188,27.7906180420908,0.41390282190348,0,0.02956448727882,0.14782243639409998,0.05912897455764,5.72072828845167,0.38433833462466,7.530576948378679,0.42338577065329014,1.048702567626068,0.015618974411452075,0,0.001115641029389434,0.005578205146947169,0.002231282058778868,0.21587653918685548,0.014503333382062642
111,2016-12-15T16:00:00Z,WIL,109,7.41,48.2,0.35,0.02,0.04,0.12,0.01,4.77,0.29,2016-12-15T16:00:00Z,13,4.19,4.81,97860,21600,0.25,0.03571428571428571,0.762,4.530555555555556,0.19924062185414249,4.18,4.9,2771086.64742,0.00250000008,0.034307548274131544,0.36928301886792453,0.07287026341911589,201930,302048.44456878,20533.7520573822,133566.376405644,969.8803265969999,55.4217329484,110.8434658968,332.5303976904,27.7108664742,13218.083308193398,803.6151277517998,302.04844456878,20.5337520573822,133.566376405644,0.9698803265969999,0.0554217329484,0.1108434658968,0.33253039769039994,0.0277108664742,13.218083308193398,0.8036151277517999,11.398054512029434,0.7748585682031018,5.040240619080906,0.036599257607433953,0.0020913861489962266,0.004182772297992453,0.012548316893977356,0.0010456930744981133,0.4987955965355999,0.03032509916044528
115,2016-12-15T22:00:00Z,WIL,104,7.4,41,0.31,0,0.04,0.09,0.01,3.99,0.27,2016-12-15T22:00:00Z,14,4.91,0.655,553232.1,1689000,19.54861111111111,2.79265873015873,75.184,0.32755008880994674,0.6653589990830479,0.0404,4.91,15665788.7311887,0.24666667456,0.19395091945175935,2.0876683018867923,1.2717994596635693,19923760,1629242.028043625,115926.83661079638,642297.3379787366,4856.394506668496,0,626.631549247548,1409.920985806983,156.657887311887,62506.49703744292,4229.762957420949,1629.242028043625,115.92683661079637,642.2973379787367,4.856394506668497,0,0.6266315492475479,1.409920985806983,0.15665788731188698,62.50649703744291,4.229762957420949,61.48083124692924,4.37459760795458,24.237635395424025,0.18326017006296216,0,0.023646473556511245,0.0532045655021503,0.005911618389127811,2.3587357372619966,0.1596136965064509
165,2017-01-04T11:10:00Z,WIL,138,7.9,35.7,0.42,0.06,0.01,0.04,0.01,4.16,0.35,2017-01-04T11:10:00Z,15,0.66,0.696,18039,26400,0.3055555555555556,0.04365079365079365,0,0.6832954545454546,0.011494345516746492,0.66,0.702,510807.60303299996,0,0.006324073812763733,0.06807169811320754,0,0,70491.44921855399,4035.3800639606998,18235.8314282781,214.53919327385998,30.648456181979995,5.1080760303299995,20.432304121319998,5.1080760303299995,2124.9596286172796,178.78266106154996,70.491449218554,4.0353800639607,18.2358314282781,0.21453919327385998,0.030648456181979998,0.005108076030329999,0.020432304121319998,0.005108076030329999,2.1249596286172796,0.17878266106154997,2.6600546874926034,0.15227849297964904,0.6881445821991736,0.008095818614107924,0.001156545516301132,1.9275758605018865e-4,7.710303442007546e-4,1.9275758605018865e-4,0.08018715579687848,0.006746515511756602
166,2017-01-04T18:30:00Z,WIL,136,7.94,30.4,0.47,0.05,0.01,0.04,0.01,3.15,0.41,2017-01-04T18:30:00Z,16,0.696,0.733,133557.6,325800,3.7708333333333335,0.5386904761904762,64.008,0.40993738489871084,0.13987008911333754,0.243,0.733,3781930.1248872,0.21000000672,0.046822336086012176,0.5039909433962264,4.48503907054599,16962119.999999996,514342.49698465917,30028.525191604367,114970.67579657088,1777.5071586969839,189.09650624436,37.81930124887201,151.27720499548803,37.81930124887201,11913.07989339468,1550.591351203752,514.3424969846592,30.02852519160437,114.97067579657089,1.777507158696984,0.18909650624436,0.037819301248872006,0.15127720499548802,0.037819301248872006,11.91307989339468,1.550591351203752,19.409150829609782,1.1331518940228065,4.338516067795128,0.06707574183762204,0.007135717216768302,0.0014271434433536605,0.005708573773414642,0.0014271434433536605,0.44955018465640306,0.05851288117750007
153,2017-01-08T13:00:00Z,WIL,131,7.55,22.8,0.31,0,0.01,0.04,0.01,4.38,0.3,2017-01-08T13:00:00Z,17,0.765,1.95,27233.4,21600,0.25,0.03571428571428571,0.762,1.2608055555555555,0.3077557305437864,0.765,1.95,771164.0210898,0.00250000008,0.009547426784883855,0.10276754716981133,0.2618506678635308,201930,101022.48676276382,5822.2883592279895,17582.53968084744,239.06084653783802,0,7.711640210898001,30.846560843592005,7.711640210898001,3377.698412373324,231.34920632694002,101.02248676276382,5.82228835922799,17.58253968084744,0.23906084653783802,0,0.007711640210898001,0.030846560843592004,0.007711640210898001,3.377698412373324,0.23134920632694,3.8121693118024083,0.21970899468784869,0.6634920634282052,0.009021164020295774,0,2.9100529097728306e-4,0.0011640211639091323,2.9100529097728306e-4,0.12746031744804998,0.008730158729318491
155,2017-01-08T19:00:00Z,WIL,114,7.67,40.4,0.25,0,0.01,0.05,0.01,4.51,0.24,2017-01-08T19:00:00Z,18,2.05,3.69,21018,7200,0.08333333333333334,0.011904761904761904,1.016,2.9191666666666665,0.5615313208026995,2.05,3.69,595163.490246,0.0033333334400000004,0.007368445224051673,0.0793132075471698,0.45237948286831486,269240,67848.637888044,4564.9039701868205,24044.6050059384,148.7908725615,0,5.95163490246,29.7581745123,5.95163490246,2684.18734100946,142.83923765903998,67.848637888044,4.56490397018682,24.0446050059384,0.1487908725615,0,0.005951634902460001,0.0297581745123,0.005951634902460001,2.68418734100946,0.14283923765904,2.560325958039396,0.17226052717686113,0.907343585129751,0.005614749907981133,0,2.2458999631924531e-4,0.0011229499815962264,2.2458999631924531e-4,0.10129008833997961,0.005390159911661887
156,2017-01-08T21:00:00Z,WIL,101,7.62,48.4,0.3,0,0.01,0.06,0.01,5.75,0.29,2017-01-08T21:00:00Z,19,3.7,4.07,28860,7200,0.08333333333333334,0.011904761904761904,0,4.008333333333333,0.1358363543073618,3.7,4.14,817224.20442,0,0.010117676713585084,0.10890566037735849,0,0,82539.64464642,6227.2484376804,39553.651493928,245.167261326,0,8.1722420442,49.0334522652,8.1722420442,4699.039175415,236.99501928179996,82.53964464642,6.2272484376804,39.553651493928,0.24516726132599997,0,0.008172242044200001,0.04903345226519999,0.008172242044200001,4.699039175415,0.23699501928179997,3.1147035715630187,0.23499050708227923,1.4925906224123775,0.009251594767018867,0,3.083864922339623e-4,0.0018503189534037733,3.083864922339623e-4,0.1773222330345283,0.008943208274784904
157,2017-01-08T23:00:00Z,WIL,99,7.7,43.1,0.25,0,0.01,0.07,0.04,5.14,0.24,2017-01-08T23:00:00Z,20,4.01,2.71,98616,28800,0.33333333333333337,0.047619047619047616,4.826,3.424166666666667,0.4528436550140952,2.71,4.08,2792494.183752,0.015833333839999998,0.034572585127751444,0.3721358490566038,0.4579736742709057,1278890,276456.92419144796,21502.205214890397,120356.49931971119,698.123545938,0,27.92494183752,195.47459286264,111.69976735008,14353.42010448528,670.19860410048,276.45692419144797,21.5022052148904,120.35649931971119,0.698123545938,0,0.02792494183752,0.19547459286264002,0.11169976735008,14.353420104485279,0.6701986041004799,10.432336761941432,0.8114039703732226,4.5417546913098565,0.026344284752377357,0,0.0010537713900950943,0.007376399730665661,0.004215085560380377,0.5416384945088785,0.02529051336228226
158,2017-01-09T07:00:00Z,WIL,102,7.74,29.3,0.46,0,0,0.04,0.01,3.33,0.46,2017-01-09T07:00:00Z,21,2.64,1.6,89418,43200,0.5,0.07142857142857142,7.874,2.069861111111111,0.3152083730904902,1.6,2.64,2532035.825046,0.02583333416,0.03134797007537599,0.3374264150943396,0.8240831574702896,2086610,258267.654154692,19597.957285856042,74188.64967384782,1164.73647952116,0,0,101.28143300184,25.32035825046,8431.679297403181,1164.73647952116,258.26765415469197,19.597957285856044,74.1886496738478,1.16473647952116,0,0,0.10128143300184,0.02532035825046,8.43167929740318,1.16473647952116,9.745949213384602,0.7395455579568319,2.7995716858055775,0.04395231998193057,0,0,0.0038219408679939625,9.554852169984906e-4,0.31817657726049736,0.04395231998193057
