sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
232,3/25/2017 11:00,,SF,UQL,101,7.79,42.1,0.43,0.18,0,0.055,0,2.38
233,3/25/2017 23:00,,SF,UQL,103,7.68,32.6,0.37,0.08,0,0.038,0,2.05
234,3/24/2017 5:00,,SF,WIL,141,7.85,30.9,0.42,0.17,0.05,0.075,0.002,2.18
235,3/24/2017 9:00,,SF,WIL,126,7.66,74.2,0.44,0.21,0.03,0.121,0.004,3.56
236,3/24/2017 13:00,,SF,WIL,118,7.63,57.5,0.97,0.23,0.07,0.09,0.002,3.26
237,3/24/2017 23:00,,SF,WIL,120,7.72,46.5,1.04,0.23,0.03,0.086,0,2.29
238,3/25/2017 9:00,,SF,WIL,123,7.96,32.9,0.83,0.11,0.01,0.058,0,1.81
239,3/25/2017 23:00,,SF,WIL,126,7.83,27.5,0.81,0.1,0.07,0.058,0.005,1.58
240,3/24/2017 7:25,,SF,ZIE,91,7.77,52.2,0.64,0.02,0.01,0.069,0,4.03
241,3/24/2017 9:25,,SF,ZIE,82,7.59,60.8,0.56,0.01,0.02,0.089,0,5.2
242,3/24/2017 11:25,,SF,ZIE,81,7.62,50.8,0.58,0.03,0.01,0.069,0.002,4.64
243,3/25/2017 17:25,,SF,ZIE,87,7.63,54.5,0.6,0.03,0.02,0.078,0,2.96
244,3/25/2017 5:25,,SF,ZIE,93,7.54,42.9,0.7,0.01,0.09,0.049,0,2.02
245,3/25/2017 17:25,,SF,ZIE,97,7.77,49.7,0.53,0.01,0.13,0.088,0,2.11
246,3/21/2017 9:30,,NF,MUN,105,7.7,44.6,0.53,0.01,0.01,0.061,0,2.2
247,3/21/2017 9:35,,NF,KJE,97,7.71,42.4,0.39,0,0,0.061,0,1.9
248,3/22/2017 12:40,,SF,OGI,93,7.51,17.8,0.41,0.01,0.01,0.024,0,2.88
249,3/22/2017 11:57,,SF,POR,111,7.58,30.2,0.38,0.02,0.01,0.044,0,2.9
250,3/21/2017 14:00,,,QUE,115,7.64,55.6,0.66,0,0.08,0.075,0,3.94
251,3/22/2017 11:23,,SF,RIC,120,7.65,25.4,0.65,0.01,0.02,0.044,0,2.6
252,3/22/2017 10:50,,SF,SEQ,111,7.83,42.4,0.78,0,0.02,0.055,0,3
253,3/21/2017 13:45,,SF,SFC,115,7.71,54.4,0.77,0.02,0.08,0.076,0,4.17
254,3/22/2017 10:13,,SF,TRE,106,7.66,27.3,0.56,0,0.01,0.044,0,1.67
255,3/22/2017 9:40,,SF,UQL,110,7.57,42.6,0.65,0,0,0.052,0,2.11
256,3/22/2017 12:02,,SF,WIL,143,7.82,29.4,0.65,0,0,0.049,0,1.64
257,3/22/2017 11:43,,SF,YOC,115,7.76,41.1,0.5,0,0,0.052,0,1.91
258,3/22/2017 10:55,,SF,ZIE,102,7.72,33,0.58,0.01,0.01,0.044,0,1.75
259,4/12/2017 10:50,,NF,NFC,127,7.74,7.65,0.4,0.03,0,0.023,0.004,1.22
260,4/12/2017 9:09,,NF,KJE,95,7.65,9.47,0.33,0.02,0,0.02,0,0.95
261,4/12/2017 9:06,,NF,MUN,113,7.62,8.14,0.35,0.01,0,0.023,0,0.77
262,4/12/2017 14:48,,SF,POR,118,7.62,10,0.48,0.01,0.01,0.023,0,2.38
263,4/12/2017 14:51,,,QUE,146,7.65,12.1,0.33,0.01,0.03,0.029,0,2.26
264,4/12/2017 14:00,,SF,RIC,126,7.66,16,0.44,0,0.01,0.058,0,2.14
265,4/12/2017 13:26,,SF,SEQ,129,7.73,21.5,0.48,0.01,0.03,0.039,0,2.26
266,4/12/2017 15:01,,SF,SFC,142,7.73,12.4,0.56,0.02,0.03,0.026,0,2.36
267,4/12/2017 13:05,,SF,TRE,121,7.69,9.62,0.29,0.01,0.01,0.026,0.002,1.39
268,4/12/2017 11:20,,SF,UQL,137,7.59,19.8,0.42,0.02,0,0.029,0,1.52
269,4/12/2017 10:50,,SF,WIL,164,7.74,12.3,0.35,0.01,0,0.039,0.004,1.37
270,4/12/2017 10:14,,SF,YOC,124,7.33,17.2,0.34,0.01,0,0.026,0,1.53
271,4/12/2017 9:30,,SF,ZIE,110,7.29,13.7,0.33,0,0,0.02,0,1.43
272,4/26/2017 10:00,,SF,TRE,129,7.26,6.82,0.39,0.01,0.01,0.026,0,1.67
273,4/26/2017 9:34,,SF,YOC,139,7.48,14.5,0.46,0.04,0,0.048,0,1.9
274,4/26/2017 11:35,,SF,POR,115,7.55,9.87,0.35,0,0.01,0.023,0,3.45
275,4/26/2017 10:31,,SF,OGI,93,7.38,10.3,0.22,0,0.01,0.02,0,2.96
276,4/26/2017 10:32,,SF,SEQ,148,7.33,17.9,0.34,0.01,0.05,0.045,0,2.66
277,4/26/2017 11:07,,SF,RIC,134,7.56,5.76,0.34,0.02,0.02,0.029,0.004,2.55
278,4/26/2017 9:36,,SF,UQL,156,7.53,13.8,0.53,0.01,0,0.02,0,1.43
279,4/26/2017 10:39,,SF,SFC,149,7.92,7.77,0.52,0,0.02,0.023,0.002,2.29
280,4/26/2017 10:58,,,QUE,156,7.91,8.92,0.42,0.01,0.03,0.033,0.002,2.58
281,4/26/2017 9:52,,SF,WIL,195,7.84,6.45,0.5,0.01,0.01,0.026,0.004,1.61
282,4/26/2017 9:05,,SF,ZIE,125,7.77,9.67,0.35,0.01,0.01,0.017,0,1.56
283,4/27/2017 13:22,,NF,NFC,136,7.73,6.36,0.32,0,0,0.029,0,1.18
284,4/27/2017 8:56,,NF,KJE,101,7.77,11.3,0.44,0.01,0,0.023,0,0.98
285,4/27/2017 8:58,,NF,MUN,119,7.62,9.93,0.55,0.02,0,0.02,0,0.94
286,4/28/2017 10:20,,,S600,9,6.68,1.44,0.03,0,0,0.007,0,1.76
287,4/28/2017 8:30,,,S640,10,6.42,1.08,0.03,0,0.01,0.007,0,1.89
288,5/12/2017 14:08,,NF,KJE,107,7.27,7.86,0.14,0.01,0,0.019,0.004,0.83
289,5/11/2017 14:11,,NF,MUN,116,7.29,6.08,0.13,0,0,0.013,0.001,0.63
290,5/11/2017 9:20,,SF,OGI,87,7.37,7.88,0.22,0,0.01,0.016,0.001,1.5
291,5/11/2017 9:45,,SF,POR,118,7.53,6.42,0.16,0.01,0,0.022,0.001,1.88
292,5/11/2017 10:32,,,QUE,166,7.87,5.5,0.17,0.01,0.01,0.016,0.006,1.76
293,5/11/2017 11:55,,SF,RIC,135,7.84,5.23,0.23,0,0.01,0.026,0.006,1.55
294,5/11/2017 11:24,,SF,SEQ,159,7.97,9.93,0.31,0.01,0.03,0.022,0.005,1.77
295,5/11/2017 11:01,,SF,SFC,152,7.96,5.33,0.34,0,0.01,0.016,0.005,1.68
296,5/11/2017 10:50,,SF,TRE,136,7.79,5.64,0.21,0,0,0.019,0.006,1.09
297,5/11/2017 10:00,,SF,UQL,162,7.81,10.3,0.22,0,0,0.016,0.001,0.96
298,5/11/2017 10:20,,SF,WIL,226,7.83,4.63,0.25,0.01,0.01,0.019,0.009,0.97
299,5/11/2017 9:50,,SF,YOC,141,7.81,12.9,0.27,0,0,0.041,0.001,1.3
300,5/11/2017 9:12,,SF,ZIE,133,7.79,6.93,0.37,0.01,0,0.016,0.002,1.07
301,5/30/2017 14:15,,NF,NFC,156,7.87,1.67,0.71,0,0,0.015,0.008,1.57
302,5/30/2017 12:13,,NF,KJE,119,7.88,3.75,0.49,0,0,0.015,0.003,1.42
303,5/26/2017 15:57,,SF,OGI,87,7.79,4.4,0.49,0.01,0.01,0.012,0.001,1.87
304,5/26/2017 14:19,,SF,POR,124,7.63,4.05,0.62,0.01,0,0.009,0.003,2.51
305,5/26/2017 13:23,,SF,RIC,145,7.69,2.67,0.51,0,0.01,0.015,0.005,1.84
306,5/26/2017 12:40,,SF,SEQ,172,7.92,4.86,0.6,0.01,0.03,0.031,0.004,2.4
307,5/30/2017 16:23,,SF,SFC,165,7.92,2.16,0.54,0.03,0.01,0.012,0.004,2.05
308,5/26/2017 11:40,,SF,TRE,150,7.91,3.73,0.47,0.08,0,0.015,0.008,1.67
309,5/26/2017 10:45,,SF,UQL,182,7.81,16.7,0.61,0.06,0,0.051,0.004,1.92
310,5/26/2017 9:44,,SF,WIL,275,8.06,2.49,0.53,0.03,0,0.018,0.007,1.66
311,5/26/2017 9:10,,SF,YOC,160,7.68,4.91,0.51,0.01,0.01,0.028,0.001,1.62
312,5/26/2017 8:20,,SF,ZIE,145,7.95,2.98,0.55,0.03,0.01,0.031,0.001,1.78
313,6/15/2017 13:20,,NF,NFC,160,7.91,1.17,0.03,0.01,0,0.023,0.009,0.93
314,6/14/2017 12:15,,NF,M1,204,7.51,1.71,0.14,0.02,0,0.035,0.027,0.67
315,6/22/2017 9:40,,SF,OGI,83,7.44,5.31,0.07,0.02,0.01,0.01,0,1.52
316,6/16/2017 14:00,,SF,POR,116,7.51,4.3,0.06,0.02,0,0.013,0.004,2
317,6/21/2017 16:42,,,QUE,176,8.01,1.91,0.09,0.02,0.01,0.016,0.007,1.79
318,6/16/2017 13:20,,SF,RIC,131,7.92,5.83,0.07,0.02,0.02,0.042,0.006,1.57
319,6/16/2017 13:00,,SF,SEQ,170,7.9,4.21,0.18,0.05,0.04,0.039,0.004,1.94
320,6/15/2017 14:30,,SF,SFC,158,7.91,2.09,0.12,0.07,0,0.013,0.006,1.77
321,6/16/2017 12:30,,SF,TRE,149,7.87,3.27,0.04,0.02,0,0.02,0.007,1.07
322,6/16/2017 10:11,,SF,UQL,166,7.79,10.6,0.06,0.03,0.01,0.026,0.003,0.86
323,6/21/2017 13:00,,SF,WIL,288,8.15,8.19,0.06,0.02,0,0.045,0.012,0.83
324,6/21/2017 12:50,,SF,YOC,167,8.01,21.7,0.08,0.02,0.01,0.057,0.003,1.24
325,6/21/2017 11:50,,SF,ZIE,146,8.02,3.67,0.06,0.02,0.01,0.01,0.003,0.94
326,7/3/2017 13:14,,NF,NFC,287,7.84,1.24,0.07,0.01,0,0.013,0.008,1.09
327,7/6/2017 14:30,,NF,M1,348,7.7,1.82,0.32,0.18,0,0.004,0.003,0.99
328,7/5/2017 8:55,,SF,OGI,206,7.8,4.73,0.03,0.01,0.01,0.01,0,1.44
329,7/5/2017 9:15,,SF,POR,244,7.53,3.13,0.03,0.01,0,0.016,0.003,2.01
330,7/5/2017 16:00,,,QUE,308,7.46,1.04,0.03,0,0.01,0.013,0.011,1.78
331,7/5/2017 10:35,,SF,RIC,273,7.5,1.83,0.04,0.01,0.03,0.005,0.004,1.63
332,7/5/2017 9:25,,SF,SEQ,315,7.46,11.8,0.1,0.02,0.05,0.041,0.008,1.95
333,7/5/2017 15:05,,SF,SFC,279,7.51,2.21,0.04,0.01,0.01,0.005,0.004,1.77
334,7/5/2017 8:32,,SF,TRE,281,7.49,17.7,0.07,0.01,0.03,0.071,0.01,1.14
335,7/5/2017 15:42,,SF,UQL,315,7.55,6.12,0.03,0.01,0,0.01,0.004,0.98
336,7/5/2017 16:03,,SF,WIL,447,7.84,0.71,0.07,0.05,0,0.009,0.007,0.83
337,7/5/2017 15:07,,SF,YOC,305,7.98,2.03,0.2,0.08,0.03,0.005,0.004,1.47
338,7/5/2017 14:45,,SF,ZIE,282,7.98,6.51,0.09,0.02,0.04,0.016,0.004,1.05
339,8/1/2017 15:10,,NF,NFC,295,7.93,0.86,0.05,0.01,0.04,0.007,0.005,1.1
340,7/26/2017 17:06,,NF,KJE,265,7.95,2.13,0.06,0,0.04,0.005,0.004,0.89
341,8/1/2017 9:25,,NF,M1,341,7.8,2.85,0.06,0.01,0.03,0.004,0.001,0.43
342,7/26/2017 17:05,,NF,MUN,240,7.77,2.48,0.1,0.02,0.03,0.01,0.007,0.66
343,8/1/2017 8:20,,SF,OGI,186,7.82,4.95,0.04,0,0.01,0.022,0.001,1.29
344,8/1/2017 16:00,,SF,POR,240,7.59,2.25,0.04,0.02,0,0.007,0.004,2.07
345,8/2/2017 9:30,,,QUE,318,7.5,2.03,0.07,0.02,0.03,0.019,0.013,1.91
346,8/1/2017 15:20,,SF,RIC,279,7.61,2.69,0.09,0.01,0.03,0.016,0.007,1.69
347,8/1/2017 14:45,,SF,SEQ,332,7.68,2.57,0.09,0.01,0.05,0.009,0.007,2.1
348,8/2/2017 10:44,,SF,SFC,281,7.71,1.9,0.06,0.02,0,0.006,0.004,1.89
349,8/1/2017 14:20,,SF,TRE,294,7.75,5.34,0.05,0.01,0.01,0.028,0.011,1.09
350,8/1/2017 10:40,,SF,WIL,475,8.22,0.65,0.11,0.03,0,0.019,0.016,0.88
351,8/1/2017 11:15,,,XRA,294,8.17,0.87,0.03,0,0,0.007,0.003,0.88
352,8/1/2017 10:10,,SF,YOC,313,7.92,0.9,0.04,0,0,0.005,0.003,1.6
353,8/1/2017 9:30,,SF,ZIE,291,8.01,1.49,0.05,0,0.02,0.005,0.004,1.1
354,9/18/2017 12:50,,,NFC,318,7.91,18.8,0.43,0.13,0.003,0.072,0,3.62
355,9/21/2017 14:30,,,KJE,276,7.72,0.83,0.13,0.07,0.001,0.027,0.008,1.04
356,9/21/2017 14:28,,,MUN,274,7.53,2.28,0.29,0.26,0.021,0.027,0.008,0.85
357,9/21/2017 9:28,,,OGI,157,7.67,4.38,0.13,0.08,0.005,0.027,0.001,1.36
358,9/21/2017 10:10,,,POR,225,7.53,1.97,0.16,0.09,0.002,0.033,0.008,2.23
359,9/19/2017 10:40,,,QUE,320,7.53,1.21,0.16,0.07,0.003,0.048,0.056,2.13
360,9/21/2017 11:15,,,RIC,285,7.61,1.79,0.19,0.09,0.023,0.039,0.016,1.91
361,9/21/2017 11:07,,,SEQ,427,7.66,1.71,0.17,0.06,0.011,0.036,0.014,2.5
362,9/21/2017 11:45,,,TRE,309,7.79,0.97,0.13,0.03,0.007,0.039,0.017,1.28
363,9/22/2017 10:55,,,WIL,500,8.26,0.46,0.16,0.11,0.003,0.039,0.02,0.87
364,9/22/2017 8:05,,,IVE,309,8.25,0.77,0.11,0.03,0.015,0.03,0.026,0.61
365,9/22/2017 10:04,,,ZIE,289,7.5,1.81,0.23,0.06,0.002,0.066,0.042,2.81
366,10/23/2017 13:40,,,NFC,300,7.58,1.14,0.12,0.02,0,0.036,0.013,1.32
367,10/19/2017 12:04,,,KJE,272,7.32,6.12,0.23,0.06,0,0.057,0.004,0.98
368,10/19/2017 11:30,,,OGI,156,7.52,3.44,0.12,0.01,0.004,0.03,0.003,1.19
369,10/19/2017 10:30,,,POR,218,7.39,4.62,0.14,0.03,0.003,0.054,0.008,2.07
370,10/19/2017 12:00,,,QUE,305,7.41,1.84,0.16,0.04,0.002,0.051,0.024,2.21
371,10/19/2017 8:30,,,RIC,268,7.58,2.11,0.18,0.03,0.025,0.054,0.018,2.07
372,10/19/2017 9:40,,,SEQ,448,7.8,7.3,0.16,0.03,0.013,0.075,0.016,2.41
373,10/19/2017 9:10,,,TRE,325,7.89,8.76,0.15,0.02,0.023,0.072,0.014,1.12
374,10/19/2017 15:51,,,WIL,501,8.25,0.48,0.12,0.03,0.003,0.048,0.026,0.78
375,10/19/2017 15:31,,,ZIE,276,8.06,2.19,0.27,0.09,0.023,0.06,0.021,1.94
376,10/24/2017 9:30,,,S640,108,7.78,8.33,0.87,0.01,0,0.09,0.001,14.03
377,11/3/2017 12:20,,,NFC,314,7.84,1.31,0.14,0.02,0.002,0.022,0.016,1.14
378,11/3/2017 8:34,,,KJE,294,7.72,0.97,0.23,0.07,0,0.062,0.068,2
379,11/3/2017 8:33,,,MUN,283,7.64,1.94,0.18,0.02,0.012,0.026,0.017,1.12
380,11/6/2017 9:06,,,OGI,193,7.82,2.13,0.14,0,0.01,0.019,0.005,1.49
381,11/2/2017 14:30,,,POR,273,7.35,5.2,0.32,0,0,0.035,0.004,4.76
382,11/2/2017 15:00,,,QUE,343,7.58,4.97,0.46,0,0.265,0.029,0.011,5.13
383,11/2/2017 14:10,,,RIC,287,7.6,3.68,0.26,0,0.082,0.022,0.003,4.56
384,11/2/2017 13:56,,,SEQ,480,8.63,0.47,0.18,0.02,0.033,0.026,0.016,3.66
385,11/2/2017 13:40,,,TRE,281,8.14,7.04,0.11,0.01,0.001,0.026,0.013,3.64
386,11/2/2017 11:40,,,WIL,421,8.08,4.02,0.32,0.06,0.009,0.041,0.013,4.06
387,11/2/2017 12:40,,,UQL,293,7.84,18.9,0.24,0.02,0.001,0.053,0.008,4.24
388,11/20/2017 13:30,,,NFC,289,7.95,2.69,0.14,0.02,0.003,0.022,0.023,2.49
389,11/20/2017 11:25,,,KJE,273,7.88,12.4,0.24,0.02,0.005,0.041,0.018,9.49
390,11/20/2017 11:20,,,MUN,251,7.75,15.6,0.23,0.02,0.005,0.05,0.018,6.28
391,11/21/2017 14:00,,,OGI,219,7.64,5.64,0.14,0,0.01,0.022,0.003,3.55
392,11/21/2017 15:22,,,POR,237,7.62,2.12,0.15,0.01,0.003,0.026,0.008,2.42
393,11/21/2017 15:00,,,QUE,342,8.32,1.68,0.17,0,0.001,0.026,0.02,2.29
394,11/21/2017 13:21,,,RIC,306,8.11,1.58,0.18,0.02,0.016,0.022,0.014,1.98
395,11/21/2017 14:12,,,SEQ,349,7.89,7.53,0.49,0,0.248,0.029,0.005,4.05
396,11/21/2017 12:32,,,TRE,335,8.43,3.49,0.21,0.01,0.012,0.059,0.024,1.24
397,11/21/2017 11:38,,,UQL,492,8.46,0.82,0.22,0.09,0.004,0.032,0.027,1.27
398,11/21/2017 10:37,,,WIL,330,8.05,40.6,1.04,0.45,0.007,0.332,0.058,4.56
399,11/21/2017 12:15,,,YOC,307,7.87,9.86,0.16,0,0.002,0.026,0.008,3.16
400,11/21/2017 10:30,,,ZIE,304,8.02,9.16,0.14,0,0.011,0.026,0.01,2.15
401,11/21/2017 15:36,,,SFC,331,8.12,8.24,0.68,0.02,0.364,0.041,0.021,5.26
402,11/17/2017 12:55,,,S640,112,7.3,0.47,0.13,0.07,0.053,0,0.001,0.5
403,12/4/2017 11:40,,,NFC,230,6.49,0.64,0.05,0.06,0.01,0.009,0.012,1.43
404,12/4/2017 11:25,,,KJE,265,6.67,2.47,0.1,0.07,0.009,0.015,0,1.57
405,12/4/2017 11:23,,,MUN,281,6.68,1.5,0.13,0.11,0.011,0.009,0,1.12
406,12/5/2017 11:52,,,OGI,203,6.8,3.9,0.15,0.07,0.01,0.018,0.001,1.89
407,12/5/2017 14:50,,,POR,249,6.61,2.8,0.18,0.07,0.011,0.025,0.006,2.82
408,12/5/2017 14:08,,,QUE,347,6.72,0.89,0.14,0.03,0.011,0.015,0.001,2.57
409,12/5/2017 14:10,,,RIC,283,6.73,1.41,0.09,0.02,0.012,0.009,0.001,2.16
410,12/5/2017 13:00,,,SEQ,354,6.76,2.5,0.12,0.01,0.016,0.009,0,2.77
411,12/5/2017 13:20,,,SFC,329,6.8,1.16,0.13,0.03,0.01,0.015,0.001,3.17
412,12/5/2017 11:40,,,TRE,284,6.82,2.46,0.09,0.03,0.014,0.018,0.011,1.45
413,12/5/2017 10:50,,,UQL,285,6.7,14.2,0.13,0.03,0.01,0.022,0,1.19
414,12/5/2017 9:50,,,WIL,425,6.99,1,0.07,0.02,0.011,0.018,0.017,1.18
415,12/5/2017 9:40,,,YOC,296,6.81,5.04,0.03,0.01,0.012,0.015,0.001,1.91
416,12/5/2017 10:00,,,N408,125,6.89,1.6,0.12,0.02,0.011,0.009,0,0.77
417,12/18/2017 10:40,,,NFC,310,6.68,0.82,0.04,0.02,0.014,0.012,0.004,1.01
418,12/18/2017 9:45,,,KJE,284,6.65,1.43,0.06,0.02,0.019,0.015,0.004,1.02
419,12/18/2017 9:40,,,MUN,295,6.64,3.9,0.07,0.02,0.011,0.015,0,0.72
420,12/18/2017 14:03,,,OGI,204,6.72,2.54,0.1,0.01,0.01,0.012,0,1.49
421,12/18/2017 14:30,,,POR,253,6.61,2.27,0.11,0.02,0.01,0.015,0.006,2.27
422,12/18/2017 15:05,,,QUE,372,6.65,3.16,0.17,0.02,0.011,0.034,0.001,2.17
423,12/19/2017 15:12,,,RIC,294,6.7,1.75,0.07,0.02,0.009,0.012,0.006,1.86
424,12/19/2017 14:48,,,SEQ,386,7.75,1.54,0.25,0.01,0.01,0.037,0.001,2.24
425,12/18/2017 13:50,,,SFC,342,7.64,2.33,0.13,0.03,0.02,0.022,0.001,2.25
426,12/19/2017 14:28,,,TRE,301,6.92,10.4,0.3,0.01,0.014,0.098,0.001,1.28
427,12/19/2017 14:00,,,UQL,305,6.62,11.6,0.11,0.02,0.011,0.034,0.004,1.1
428,12/19/2017 11:30,,,WIL,464,7.1,20.1,0.11,0.03,0.009,0.114,0.019,0.87
429,12/19/2017 11:00,,,YOC,312,7.07,1.69,0.17,0.02,0.01,0.015,0,1.64
430,12/19/2017 10:35,,,ZIE,300,6.8,3.95,0.09,0.03,0.016,0.015,0,1.28
431,12/21/2017 12:00,,,S640,125,6.59,1.11,0.17,0.06,0.039,0.031,0,0.71
432,1/4/2018 11:15,,,NFC,197,6.86,1.9,0.22,0.01,0,0.015,0.001,1.23
433,1/4/2018 11:35,,,KJE,212,7,2.61,0.19,0.01,0,0.006,0,1.12
434,1/4/2018 11:45,,,MUN,216,6.96,1.77,0.07,0.01,0,0.009,0.001,0.76
435,1/4/2018 15:35,,,OGI,102,6.67,7.03,0.14,0.01,0,0.015,0.001,1.39
436,1/4/2018 15:55,,,POR,137,6.65,25.5,0.18,0.01,0,0.098,0.001,2.29
437,5/1/2018 9:57,,,ZIE,196,6.78,22.4,0.14,0.01,0,0.034,0,3.02
438,1/5/2018 11:10,,,UQL,180,6.87,26.1,0.07,0.01,0,0.037,0,2.69
439,1/5/2018 11:30,,,YOC,225,6.82,9.53,0.12,0.01,0,0.015,0,2.9
440,1/5/2018 12:00,,,TRE,196,6.89,8.87,0.03,0.02,0,0.028,0.008,3.52
441,1/5/2018 13:10,,,ASEQ,239,6.88,8.19,0.21,0.02,0,0.025,0,5.76
442,1/5/2018 13:15,,,SEQ,234,6.88,12.6,0.56,0.03,0.372,0.037,0,6.29
443,1/5/2018 13:33,,,SFC,220,6.73,4.2,0.21,0.02,0,0.018,0.001,4.56
444,1/5/2018 13:35,,,BRIC,268,6.81,10.1,0.39,0.01,0.138,0.034,0,5.58
445,1/5/2018 13:45,,,RIC,193,6.94,6.42,0.18,0.01,0,0.025,0.001,4.8
446,1/5/2018 13:50,,,QUE,262,6.8,5.41,0.33,0.02,0.164,0.025,0.001,6.17
447,1/8/2018 14:00,,,TRE,146,6.59,25.8,0.31,0.02,0,0.086,0.003,9.72
448,1/8/2018 18:00,,,TRE,142,6.93,65.1,0.34,0.01,0,0.191,0.004,7.53
449,1/8/2018 22:00,,,TRE,142,6.8,38.1,0.25,0.01,0,0.108,0.001,4.96
450,1/9/2018 4:00,,,TRE,120,6.76,28.1,0.16,0.01,0,0.062,0.001,3.65
451,1/9/2018 10:00,,,TRE,139,6.75,21.9,0.19,0.02,0,0.052,0.001,3.27
452,1/10/2018 12:00,,,TRE,145,6.73,18.3,0.12,0.01,0,0.043,0.003,2.38
453,1/8/2018 16:00,,,UQL,135,6.76,31,0.22,0.02,0,0.055,0.004,6.5
454,1/8/2018 18:00,,,UQL,117,6.67,29.1,0.22,0.02,1.145,0.055,0,7.39
455,1/8/2018 20:00,,,UQL,200,6.95,39.7,0.1,0.01,0,0.052,0,3.98
456,1/9/2018 2:00,,,UQL,125,6.6,39,0.16,0.01,0,0.058,0.001,4.96
457,1/9/2018 10:00,,,UQL,111,6.67,35.7,0.13,0.01,0,0.058,0,3.37
458,1/10/2018 12:00,,,UQL,142,6.7,29.3,0.13,0.01,0,0.04,0,2.47
459,1/8/2018 16:00,,,WIL,195,6.68,33.4,0.25,0.01,0,0.092,0,13.52
460,1/8/2018 18:00,,,WIL,177,6.71,42.1,0.3,0.01,0,0.148,0,8.28
461,1/9/2018 0:00,,,WIL,177,6.62,29.1,0.17,0.01,0,0.089,0,5.37
462,1/9/2018 4:00,,,WIL,178,6.69,25.6,0.21,0.01,0,0.065,0,4.28
463,1/9/2018 10:00,,,WIL,191,6.99,21.3,0.17,0.01,0,0.052,0.003,3.55
464,1/10/2018 12:00,,,WIL,184,6.83,13.7,0.11,0.01,0,0.034,0.003,2.37
465,1/9/2018 9:39,,,ZIE,126,6.8,38.6,0.21,0.01,0.056,0.105,0,13.64
466,1/9/2018 13:39,,,ZIE,125,6.72,26.5,0.34,0.01,0,0.08,0,4.84
467,1/9/2018 21:39,,,ZIE,125,6.65,25.6,0.11,0.01,0,0.049,0.001,4.27
468,1/10/2018 3:39,,,ZIE,126,6.7,20.1,0.18,0.01,0,0.034,0.001,3.55
469,1/10/2018 9:38,,,ZIE,130,6.6,16.9,0.11,0.01,0,0.034,0,3.06
470,1/10/2018 13:45,,,S640,,,0.43,0.12,0.11,0,0,0,0.69
471,1/10/2018 12:20,,,YOC,137,6.83,23.3,0.09,0.01,0,0.034,0.001,3.26
472,1/10/2018 9:51,,,RIC,136,6.81,11.4,0.1,0.01,0,0.028,0,3.83
473,1/10/2018 12:28,,,QUE,140,6.78,17.1,0.19,0.01,0,0.034,0,4.11
474,1/10/2018 10:36,,,POR,134,6.89,19.4,0.14,0.01,0,0.034,0,4.59
475,1/10/2018 10:00,,,NFC,147,6.92,11.8,0.06,0.01,0,0.031,0.006,2.58
476,1/10/2018 11:14,,,OGI,132,6.63,18,0.09,0.01,0,0.034,0,4.26
477,1/10/2018 11:51,,,SFC,168,6.74,13.3,0.09,0.01,0,0.018,0,4.4
478,1/8/2018 14:24,,,NFC,172,6.83,5.32,0.01,0.01,0,0.018,0.011,3.14
479,1/18/2018 13:00,,,OGI,135,7.01,38.1,0.18,0.01,0,0.068,0.004,9.64
480,1/8/2018 13:19,,,POR,137,6.83,30.7,0.09,0.01,0,0.058,0.004,9.53
481,1/18/2018 9:50,,,ZIE,144,6.89,23,0.12,0.01,0,0.04,0,2.91
482,1/8/2018 10:18,,,UQL,151,6.99,18.8,0.05,0,0,0.037,0.001,2.7
483,1/18/2018 10:40,,,YOC,151,6.94,20.7,0.09,0.01,0,0.043,0.004,4.38
484,1/18/2018 11:15,,,WIL,227,7.22,28.8,0.15,0.01,0,0.092,0.011,4.01
485,1/18/2018 11:00,,,TRE,151,7.01,10.5,0.09,0,0,0.028,0.008,3.98
486,1/18/2018 14:10,,,QUE,174,6.84,20.5,0.36,0.01,0.092,0.049,0.004,6.76
487,1/18/2018 11:53,,,SEQ,191,6.91,38.6,0.45,0.01,0.333,0.083,0.003,7.4
488,1/18/2018 14:50,,,SFC,177,6.9,17.3,0.21,0.01,0.056,0.037,0.004,6.17
489,1/18/2018 12:42,,,RIC,131,6.84,15.4,0.14,0.02,0,0.046,0.001,6.1
490,1/19/2018 13:37,,,S640,,,0.35,0.09,0.08,0,0.003,0.001,0.72
491,1/19/2018 10:50,,,KJE,115,7.02,21.1,0.03,0.01,0,0.037,0.001,2.03
492,1/19/2018 10:49,,,MUN,127,6.87,25.3,0.04,0.01,0,0.04,0.001,2.37
493,1/19/2018 14:38,,,NFC,153,6.95,13.2,0.13,0.01,0,0.034,0.006,2.88
494,1/18/2018 14:40,,,ZIE,149,6.89,26.8,0.12,0.02,0,0.049,0,7.3
495,1/19/2018 2:40,,,ZIE,128,6.81,24,0.13,0.01,0,0.043,0.001,4.46
496,1/19/2018 8:40,,,ZIE,125,6.86,18.5,0.09,0.01,0,0.028,0,3.75
497,1/22/2018 11:10,,,ZIE,105,6.9,39.1,0.13,0.01,0,0.062,0.001,4.82
498,1/23/2018 9:10,,,ZIE,112,7.01,23.3,0.1,0,0,0.037,0.003,3.07
499,1/18/2018 10:20,,,UQL,131,7.01,19.4,0.15,0.01,0,0.031,0.003,3.27
