sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
53,9/28/2016 9:00,WIL ETK,SF,WIL,352,8.13,5.7,0.06,0.01,0.01,0.016,0.014,0.7
54,9/28/2016 10:25,TRE ETK,SF,TRE,217,8.41,1,0.08,0.01,0.02,0.018,0.014,1
55,9/28/2016 11:40,SEQ ETK,SF,SEQ,261,8.79,3,0.11,0.01,0.04,0.018,0.013,2.22
56,9/28/2016 12:15,RIC ETK,SF,RIC,175,8.2,1.6,0.11,0.01,0.04,0.021,0.012,1.84
57,9/28/2016 13:04,POR ETK,SF,POR,117,7.98,1.8,0.16,0.02,0,0.016,0.011,2.63
58,9/28/2016 14:00,OGI ETK,SF,OGI,74,7.59,2.3,0.04,0.01,0,0.015,0.011,0.82
59,10/24/2016 9:00,KJE ETK,NF,KJE,194,7.71,1,0.18,0.04,0,0.012,0.014,1.62
60,10/24/2016 9:00,MUN,NF,MUN,185,7.81,1.2,0.02,0.01,0,0.018,0.014,0.6
61,10/27/2016 9:15,ZIE ETK,SF,ZIE,167,7.71,23.6,0.4,0.01,0.03,0.048,0.02,6.2
62,10/27/2016 9:28,UQL,SF,UQL,137,7.56,13.7,0.17,0.01,0.01,0.012,0.007,5.07
63,10/27/2016 10:00,YOC ETK,SF,YOC,213,7.4,10.9,0.14,0.01,0,0.01,0.009,6.54
64,10/27/2016 10:10,TRE,SF,TRE,161,7.74,15.6,0.29,0.01,0.09,0.032,0.018,9.09
65,10/27/2016 10:15,WIL ETK,SF,WIL,268,8.24,18.5,0.2,0.01,0.02,0.032,0.018,9
66,10/27/2016 10:40,SEQ,SF,SEQ,224,8.13,26.3,2.43,0.01,1.58,0.032,0.01,13.5
67,10/27/2016 11:15,RIC,SF,RIC,165,7.87,29.2,0.73,0.01,0.31,0.04,0.013,10.02
68,10/24/2016 11:30,IVE,NF,IVE,183,8.06,54.9,0.75,0.02,0.01,0.106,0.009,4.93
69,10/27/2016 13:42,OGI,SF,OGI,86,7.6,3,0.14,0.02,0,0.014,0.006,2.15
70,10/27/2016 14:00,POR ,SF,POR ,139,7.87,2,0.13,0.01,0,0.027,0.015,3.52
71,11/10/2016 0:00,2  uq  02,SF,UQL,130,8.03,22.7,0.29,0.01,0,0.065,0.002,6.03
72,11/10/2016 0:00,3  Zi  01,SF,ZIE,144,8.02,21.3,0.29,0.01,0.01,0.065,0.003,9.36
73,11/10/2016 0:00,3  Zi 05,SF,ZIE,131,7.98,17.2,0.27,0,0,0.052,0.002,7.2
