sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
963,2018-12-03T23:30:00Z,UQL,98,7.45,5.1,0.21,0.01,0,0.1,0,1.76,0.2,2018-12-03T23:30:00Z,96,0.0078,0.11,21747.2862,1195800,13.840277777777777,1.9771825396825395,59.182,0.018186390868038135,0.05378700095927481,2.59e-4,0.304,615814.5759906113,0.19416667288,0.016163127639610177,0.1739782896,12.012939401911629,7397750.000000001,60349.82844707991,4587.818591130054,3140.654337552118,129.32106095802837,6.158145759906113,0,61.58145759906113,0,1083.833653743476,123.16291519812226,60.349828447079915,4.587818591130055,3.140654337552118,0.12932106095802837,0.006158145759906113,0,0.06158145759906113,0,1.0838336537434758,0.12316291519812227,4.827986275766393,0.36702548729040435,0.25125234700416943,0.01034568487664227,4.926516607924891e-4,0,0.004926516607924891,0,0.08670669229947807,0.009853033215849781
995,2018-12-17T19:40:00Z,UQL,161,7.17,7.71,0.13,0.03,0,0.01,0,3.14,0.1,2018-12-17T19:40:00Z,97,0.108,0.138,135109.44,780000,9.027777777777777,1.2896825396825395,76.962,0.17321723076923076,0.17600549083837833,0.0416,0.849,3825873.34073568,0.25250000808,0.10041671884725796,1.08087552,2.514521595393623,9620250,615965.6078584444,27431.511853074826,29497.483457072092,497.3635342956384,114.7762002220704,0,38.2587334073568,0,12013.242289910035,382.587334073568,615.9656078584444,27.431511853074827,29.497483457072093,0.4973635342956384,0.1147762002220704,0,0.0382587334073568,0,12.013242289910036,0.382587334073568,49.27724862867555,2.194520948245986,2.3597986765657675,0.039789082743651075,0.009182096017765632,0,0.0030606986725885436,0,0.9610593831928028,0.030606986725885438
1006,2018-12-26T20:20:00Z,UQL,130,6.96,7.19,0.23,0.04,0,0,0,2.06,0.19,2018-12-26T20:20:00Z,98,0.136,0.15,18275.604,952800,11.027777777777777,1.5753968253968254,48.006,0.01918094458438287,0.026762612512061995,0.00181,0.15,517507.482300588,0.15750000504,0.013582886500246192,0.146204832,11.595473836665372,6000750,67275.97269907645,3601.852076812092,3720.8787977412276,119.02672092913525,20.70029929202352,0,0,0,1066.0654135392112,98.32642163711172,67.27597269907645,3.6018520768120923,3.7208787977412277,0.11902672092913524,0.02070029929202352,0,0,0,1.0660654135392114,0.09832642163711172,5.382077815926116,0.2881481661449674,0.2976703038192982,0.00952213767433082,0.0016560239433618814,0,0,0,0.0852852330831369,0.007866113730968937
1020,2019-01-06T21:00:00Z,UQL,129,6.79,7.1,0.14,0.01,0,0,0,5.25,0.13,2019-01-06T21:00:00Z,99,0.153,0.359,5239.2,21600,0.25,0.03571428571428571,0,0.24255555555555555,0.06848918348154147,0.153,0.359,148357.62480239998,0,0.003893904625646838,0.041913599999999995,0,0,19138.133599509598,1007.3482724082959,1053.3391360970397,20.770067472336,1.4835762480239998,0,0,0,778.8775302125999,19.286491224311998,19.138133599509597,1.0073482724082958,1.0533391360970399,0.020770067472336,0.001483576248024,0,0,0,0.7788775302125999,0.019286491224312,1.5310506879607677,0.08058786179266367,0.08426713088776319,0.00166160539778688,1.1868609984191999e-4,0,0,0,0.06231020241700799,0.00154291929794496
1023,2019-01-07T03:00:00Z,UQL,127,6.99,9.27,0.1,0.03,0,0,0,5.06,0.07,2019-01-07T03:00:00Z,100,0.362,0.54,6507.6,14400,0.16666666666666666,0.023809523809523808,0,0.4519166666666667,0.057148104055177985,0.362,0.54,184274.7135372,0,0.004836611265433533,0.052060800000000004,0,0,23402.8886192244,1288.080247625028,1708.226594489844,18.42747135372,5.528241406116,0,0,0,932.4300504982319,12.899229947604,23.4028886192244,1.288080247625028,1.708226594489844,0.018427471353720002,0.005528241406116,0,0,0,0.9324300504982319,0.012899229947604,1.872231089537952,0.10304641981000223,0.13665812755918752,0.0014741977082976003,4.4225931248927997e-4,0,0,0,0.07459440403985855,0.00103193839580832
1025,2019-01-07T07:00:00Z,UQL,134,6.83,9.28,0.08,0.01,0.08,0,0,4.8,0,2019-01-07T07:00:00Z,101,0.54,0.441,14506.2,28800,0.3333333333333333,0.047619047619047616,0,0.5036875000000001,0.034100699593497465,0.441,0.549,410769.8459514,0,0.01078137106439116,0.1160496,0,0,55043.159357487595,2805.558047848062,3811.9441704289916,32.861587676112,4.107698459514,32.861587676112,0,0,1971.6952605667198,0,55.043159357487596,2.805558047848062,3.811944170428992,0.032861587676112004,0.0041076984595140005,0.032861587676112004,0,0,1.9716952605667197,0,4.403452748599007,0.22444464382784496,0.3049555336343193,0.0026289270140889606,3.2861587676112007e-4,0.0026289270140889606,0,0,0.15773562084533757,0
1029,2019-01-07T15:00:00Z,UQL,105,6.78,11,0.44,0.01,0.04,0.02,0,3.64,0.39,2019-01-07T15:00:00Z,102,0.435,0.367,6276.6,15600,0.18055555555555555,0.025793650793650792,0.254,0.40234615384615385,0.020303580586078514,0.367,0.435,177733.52188020002,8.333333600000001e-4,0.0046649262813664195,0.0502128,0.17863805550983017,31750,18662.019797421002,1205.0332783477563,1955.0687406822,78.20274962728801,1.7773352188020002,7.109340875208001,3.5546704376040004,0,646.950019643928,69.316073533278,18.662019797421,1.2050332783477562,1.9550687406822,0.07820274962728802,0.001777335218802,0.007109340875208,0.003554670437604,0,0.6469500196439281,0.069316073533278,1.49296158379368,0.0964026622678205,0.156405499254576,0.006256219970183041,1.4218681750416e-4,5.6874727001664e-4,2.8437363500832e-4,0,0.05175600157151425,0.00554528588266224
1034,2019-01-07T19:15:00Z,UQL,112,6.79,15.7,0.02,0.02,0.02,0.01,0,3.08,0,2019-01-07T19:20:00Z,103,0.367,0.188,30244.8,157200,1.8194444444444444,0.2599206349206349,19.05,0.19239694656488548,0.06494149201609728,0.129,0.367,856437.3741456,0.062500002,0.022478692667155957,0.2419584,2.780410895128253,2381250,95920.9859043072,5815.209770448624,13446.06677408592,17.128747482912,17.128747482912,17.128747482912,8.564373741456,0,2637.827112368448,0,95.9209859043072,5.815209770448624,13.44606677408592,0.017128747482912002,0.017128747482912002,0.017128747482912002,0.008564373741456001,0,2.637827112368448,0,7.673678872344576,0.4652167816358899,1.0756853419268737,0.00137029979863296,0.00137029979863296,0.00137029979863296,6.8514989931648e-4,0,0.21102616898947585,0
1051,2019-01-09T15:00:00Z,UQL,127,6.87,10.5,0.13,0.04,0.04,0.13,0,2.91,0.05,2019-01-09T15:00:00Z,104,0.188,0.213,3139.2,15600,0.18055555555555555,0.025793650793650792,0,0.20123076923076924,0.007212809118825709,0.188,0.213,88892.2461024,0,0.002333132043218536,0.0251136,0,0,11289.3152550048,610.6897307234879,933.3685840751999,11.555991993312,3.555689844096,3.555689844096,11.555991993312,0,258.67643615798397,4.444612305120001,11.2893152550048,0.6106897307234879,0.9333685840752,0.011555991993312,0.003555689844096,0.003555689844096,0.011555991993312,0,0.25867643615798397,0.00444461230512,0.903145220400384,0.04885517845787903,0.07466948672601599,9.2447935946496e-4,2.8445518752768e-4,2.8445518752768e-4,9.2447935946496e-4,0,0.020694114892638716,3.555689844096e-4
1057,2019-01-09T19:20:00Z,UQL,127,6.86,14.5,0.24,0.02,0.1,0.12,0,2.47,0.12,2019-01-09T19:20:00Z,105,0.215,0.235,4623.6,20400,0.2361111111111111,0.03373015873015873,0.762,0.22664705882352942,0.006759425979489124,0.215,0.237,130925.7737892,0.00250000008,0.0034363752914835705,0.0369888,0.7275107832941863,95250,16627.5732712284,898.150808193912,1898.4237199434,31.422185709408,2.618515475784,13.092577378920002,15.711092854704,0,323.386661259324,15.711092854704,16.6275732712284,0.898150808193912,1.8984237199434,0.031422185709408,0.002618515475784,0.01309257737892,0.015711092854704,0,0.323386661259324,0.015711092854704,1.330205861698272,0.07185206465551296,0.15187389759547198,0.00251377485675264,2.0948123806272e-4,0.0010474061903136,0.00125688742837632,0,0.02587093290074592,0.00125688742837632
1070,2019-01-10T01:00:00Z,UQL,126,6.76,11.5,0.1,0.01,0,0.12,0,2.73,0.09,2019-01-10T01:00:00Z,106,0.237,0.2,12964.8,57600,0.6666666666666666,0.09523809523809523,0.254,0.22508333333333333,0.011534540044366213,0.2,0.237,367122.2579856,8.333333600000001e-4,0.009635763988888785,0.10371839999999999,0.08648337183859374,31750,46257.4045061856,2481.7464639826558,4221.9059668344,36.71222579856,3.671222579856,0,44.05467095827199,0,1002.243764300688,33.041003218704,46.2574045061856,2.4817464639826556,4.2219059668344,0.036712225798560004,0.0036712225798559996,0,0.044054670958271994,0,1.0022437643006878,0.033041003218704,3.700592360494848,0.19853971711861246,0.33775247734675196,0.0029369780638848005,2.9369780638847996e-4,0,0.0035243736766617595,0,0.08017950114405503,0.00264328025749632
1073,2019-01-10T17:00:00Z,UQL,126,6.82,9.38,0.13,0.02,0,0.12,0,3.02,0.11,2019-01-10T17:00:00Z,107,0.2,0.0834,37789.38,523200,6.055555555555555,0.865079365079365,68.834,0.07222740825688073,0.046442264874132756,0.0249,0.2,1070076.09168486,0.22583334056,0.02808601343379258,0.30231504,8.04077592187866,8604250,134829.58755229236,7297.918945290745,10037.313740003987,139.1098919190318,21.4015218336972,0,128.4091310021832,0,3231.629796888277,117.7083700853346,134.82958755229234,7.297918945290745,10.037313740003986,0.1391098919190318,0.021401521833697198,0,0.12840913100218318,0,3.231629796888277,0.1177083700853346,10.786367004183386,0.5838335156232596,0.8029850992003189,0.011128791353522545,0.0017121217466957758,0,0.010272730480174654,0,0.2585303837510622,0.009416669606826767
