sample,datetime,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,firstq,lastq,volume_cf,time_secs,time_days,time_weeks,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_meters,runoff_ratio,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha
11,2016-05-26T16:13:00Z,UQL,186,6.89,5.22,0.23,0.02,0,0.01,0,1.32,0.21,2016-05-26T16:10:00Z,2,0.00181,0.0504,3397.9157999999998,13306800,154.01388888888889,22.001984126984127,77.32776,8.769267575100651e-4,0.0015602664043244088,0,0.0504,96218.2618274826,0.2537000081184,0.0025254161038285377,0.0271833264,100.45869579028584,9665970,17896.596699911763,662.943823991355,502.25932673945914,22.130200220321,1.9243652365496517,0,0.9621826182748259,0,127.00810561227702,20.205834983771343,17.89659669991176,0.662943823991355,0.5022593267394592,0.022130200220321,0.0019243652365496518,0,9.621826182748259e-4,0,0.12700810561227702,0.020205834983771345,1.4317277359929408,0.0530355059193084,0.04018074613915673,0.00177041601762568,1.5394921892397214e-4,0,7.697460946198607e-5,0,0.010160648448982162,0.0016164667987017076
62,2016-10-27T16:28:00Z,UQL,137,7.56,13.7,0.17,0.01,0.01,0.01,0.01,5.07,0.15,2016-10-27T16:30:00Z,3,0.0531,0.0065,72617.022,1175400,13.604166666666666,1.943452380952381,93.6498,0.061780689127105666,0.08408306894088555,0.0065,0.408,2056285.101569634,0.307250009832,0.053970789026282294,0.580936176,5.692894533788967,11706224.999999998,281711.0589150398,15545.515367866432,28171.105891503983,349.5684672668378,20.56285101569634,20.56285101569634,20.56285101569634,20.56285101569634,10425.365464958044,308.44276523544505,281.7110589150398,15.545515367866432,28.17110589150398,0.34956846726683777,0.02056285101569634,0.02056285101569634,0.02056285101569634,0.02056285101569634,10.425365464958043,0.30844276523544506,22.536884713203186,1.2436412294293147,2.2536884713203182,0.027965477381347022,0.0016450280812557072,0.0016450280812557072,0.0016450280812557072,0.0016450280812557072,0.8340292371966435,0.024675421218835605
71,2016-11-10T07:00:00Z,UQL,130,8.03,22.7,0.29,0.01,0,0.07,0,6.03,0.28,2016-11-10T07:00:00Z,4,0.00714,0.742,472103.01,2684400,31.069444444444443,4.438492063492063,240.19764,0.17586909924005364,0.3887836754810587,0.00267,2.47,13368468.70240947,0.7880500252176,0.3508787781380355,3.77682408,2.245932425436062,30024705.000000004,1737900.9313132311,107348.80368034804,303464.23954469495,3876.855923698746,133.68468702409473,0,935.792809168663,0,80611.86627552912,3743.171236674652,1737.9009313132312,107.34880368034804,303.464239544695,3.8768559236987463,0.13368468702409472,0,0.935792809168663,0,80.61186627552911,3.743171236674652,139.0320745050585,8.587904294427844,24.277139163575598,0.3101484738958997,0.010694774961927578,0,0.07486342473349304,0,6.448949302042329,0.29945369893397217
100,2016-12-11T08:40:00Z,UQL,99,7.3,29.9,0.28,0,0.02,0.04,0,3.13,0.26,2016-12-11T08:40:00Z,5,0.735,0.424,24642,44400,0.5138888888888888,0.0734126984126984,0.254,0.555,0.09118669693891832,0.424,0.735,697783.743774,8.333333600000001e-4,0.018314551417237247,0.197136,0.045501161399764636,31750,69080.590633626,5093.8213295502,20863.733938842597,195.37944825672,0,13.95567487548,27.91134975096,0,2184.0631180126197,181.42377338123998,69.080590633626,5.0938213295502,20.8637339388426,0.19537944825672,0,0.013955674875479999,0.027911349750959998,0,2.1840631180126198,0.18142377338124,5.52644725069008,0.40750570636401595,1.669098715107408,0.015630355860537598,0,0.0011164539900384,0.0022329079800768,0,0.17472504944100958,0.0145139018704992
101,2016-12-11T21:00:00Z,UQL,93,7.31,25.1,0.3,0.06,0.02,0.04,0,2.57,0.22,2016-12-11T21:00:00Z,6,0.421,2.78,118027.44,336000,3.888888888888889,0.5555555555555556,80.518,0.35127214285714287,0.6273114792472715,0.0929,3.08,3342164.96028168,0.26416667512,0.0877209487267626,0.94421952,3.011443434598946,10064750,310821.34130619623,24431.22585965908,83888.34050307017,1002.6494880845039,200.5298976169008,66.8432992056336,133.6865984112672,0,8589.363947923917,735.2762912619696,310.8213413061962,24.43122585965908,83.88834050307018,1.0026494880845038,0.2005298976169008,0.06684329920563359,0.13368659841126718,0,8.589363947923918,0.7352762912619696,24.865707304495697,1.9544980687727262,6.711067240245614,0.0802119590467603,0.016042391809352064,0.005347463936450687,0.010694927872901374,0,0.6871491158339134,0.058822103300957565
110,2016-12-15T18:20:00Z,UQL,90,7.48,31.2,0.35,0.03,0.02,0.05,0,4.47,0.3,2016-12-15T18:20:00Z,7,2.76,0.653,153983.4,88200,1.0208333333333333,0.14583333333333331,0.508,1.745843537414966,0.8191521903579474,0.653,2.97,4360324.3783398,0.0016666667200000002,0.11444431850909056,1.2318672,0.014563123287484239,63500,392429.194050582,32615.226349981705,136042.12060420177,1526.11353241893,130.809731350194,87.206487566796,218.01621891699,0,19490.649971178904,1308.0973135019399,392.429194050582,32.615226349981704,136.04212060420176,1.5261135324189299,0.130809731350194,0.087206487566796,0.21801621891699,0,19.490649971178904,1.3080973135019398,31.39433552404656,2.609218107998536,10.88336964833614,0.12208908259351439,0.01046477850801552,0.00697651900534368,0.0174412975133592,0,1.5592519976943122,0.10464778508015518
119,2016-12-16T18:50:00Z,UQL,96,7.38,23.5,0.22,0.04,0.02,0.03,0,2.81,0.16,2016-12-16T18:50:00Z,8,0.643,0.019,134243.34,1487400,17.21527777777778,2.4593253968253967,46.482,0.09025369100443727,0.09611466997075153,0.0172,0.643,3801348.1195489797,0.15250000488,0.09977301164076217,1.07394672,1.5284694966318555,5810250,364929.41947670205,28053.94912227147,89331.68080940102,836.2965863007755,152.05392478195918,76.02696239097959,114.04044358646938,0,10681.788215932635,608.2156991278367,364.92941947670204,28.053949122271472,89.33168080940102,0.8362965863007755,0.15205392478195917,0.07602696239097959,0.11404044358646938,0,10.681788215932635,0.6082156991278367,29.194353558136164,2.2443159297817177,7.146534464752082,0.06690372690406204,0.012164313982556733,0.006082156991278367,0.00912323548691755,0,0.8545430572746108,0.048657255930226934
129,2017-01-03T00:00:00Z,UQL,92,7.45,31.9,0.07,0,0,0.03,0,5.13,0.07,2017-01-03T00:00:00Z,9,0.019,0.277,4972.32,100200,1.159722222222222,0.16567460317460317,28.448,0.04962395209580838,0.06298478034709008,0.019,0.277,140800.42467503998,0.09333333632,0.003695552727171378,0.03977856,25.255582374395857,3556000.0000000005,12953.639070103676,1048.963163829048,4491.533547133776,9.856029727252798,0,0,4.224012740251199,0,722.306178582955,9.856029727252798,12.953639070103677,1.048963163829048,4.491533547133775,0.009856029727252798,0,0,0.004224012740251199,0,0.722306178582955,0.009856029727252798,1.036291125608294,0.08391705310632384,0.35932268377070203,7.884823781802239e-4,0,0,3.379210192200959e-4,0,0.0577844942866364,7.884823781802239e-4
120,2017-01-04T03:50:00Z,UQL,94,7.63,44.7,0.09,0,0,0.03,0,6.04,0.09,2017-01-04T03:50:00Z,10,0.279,0.498,11192.4,29400,0.34027777777777773,0.048611111111111105,0.254,0.3806938775510204,0.06669058031987246,0.279,0.498,316933.4783628,8.333333600000001e-4,0.008318471929319298,0.0895392,0.10017865866239593,31750,29791.746966103197,2418.202439908164,14166.92648281716,28.524013052652,0,0,9.508004350883999,0,1914.278209311312,28.524013052652,29.791746966103197,2.4182024399081636,14.16692648281716,0.028524013052651998,0,0,0.009508004350884,0,1.9142782093113118,0.028524013052651998,2.383339757288256,0.19345619519265309,1.1333541186253728,0.0022819210442121597,0,0,7.6064034807072e-4,0,0.15314225674490495,0.0022819210442121597
121,2017-01-04T12:00:00Z,UQL,100,7.56,41.4,0.09,0,0,0.04,0,4.76,0.09,2017-01-04T12:00:00Z,11,0.498,0.469,14832.6,29400,0.34027777777777773,0.048611111111111105,0,0.5045102040816326,0.016781838458310126,0.469,0.525,420012.4648122,0,0.011023959717202873,0.1186608,0,0,42001.24648122,3175.294233980232,17388.51604322508,37.801121833097994,0,0,16.800498592487997,0,1999.2593325060718,37.801121833097994,42.00124648122,3.175294233980232,17.38851604322508,0.037801121833098,0,0,0.016800498592487997,0,1.9992593325060717,0.037801121833098,3.3600997184976,0.2540235387184186,1.3910812834580064,0.00302408974664784,0,0,0.0013440398873990397,0,0.15994074660048574,0.00302408974664784
